报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),172079,118842,63040,204104,131796,91800,46826,164653,105430,72463,
营业收入(万元),172079,118842,63040,204104,131796,91800,46826,164653,105430,72463,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),149751,101001,55472,181046,115156,80292,41178,145050,91462,62888,
营业成本(万元),111358,76053,41422,137759,88042,61522,31116,110092,69893,47444,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),5292,3333,1626,4739,3331,,714,,,,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),973,613,450,1494,1064,722,427,1148,815,552,
销售费用(万元),26363,17374,8740,28580,17396,12656,6164,24693,14540,10377,
管理费用(万元),5781,3642,1995,7214,4985,5011,1729,8203,5097,4004,
财务费用(万元),-15,-13,23,252,340,161,179,359,2,110,
资产减值损失(万元),,,1216,1009,,220,849,554,1115,401,
公允价值变动收益(万元),,,,,,,,,,,
投资收益(万元),292,199,92,78,28,22,8,51,52,-9,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,-17,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),21646,16704,7671,23891,16556,11659,5673,19720,14020,9512,
营业外收入(万元),220,151,71,240,182,217,82,267,308,282,
营业外支出(万元),217,204,202,259,258,248,22,16,28,12,
非流动资产处置损失(万元),,,,,,,,,,,
利润总额(万元),21649,16652,7540,23872,16480,11629,5733,19971,14300,9782,
所得税费用(万元),4889,3876,1929,5322,4552,3101,1475,5314,3749,2608,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),16761,12775,5611,18550,11928,8528,4257,14656,10551,7174,
归属于母公司所有者的净利润(万元),16761,12775,5611,18550,11928,8528,4257,14656,10551,7174,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,
基本每股收益,1.8,1.42,0.62,2.06,1.33,0.95,0.47,2.3,10.45,7.17,
稀释每股收益,1.8,1.42,0.62,2.06,1.33,0.95,0.47,2.3,10.45,7.17,
