报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),84154,44681,19023,55512,36553,24845,12035,43821,32435,22136,10573,38750,27769,19129,8883,40000,29220,21145,39182,35997,35778,33235,17254,31062,25834,22901,
营业收入(万元),84154,44681,19023,55512,36553,24845,12035,43821,32435,22136,10573,38750,27769,19129,8883,40000,29220,21145,39182,35997,35778,33235,17254,31062,25834,22901,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),78394,41175,17444,52729,35317,23814,11417,41840,31025,20962,10073,36416,26416,17707,8395,36499,27364,19187,35518,32551,31440,29248,15161,27403,22996,20559,
营业成本(万元),70751,36666,15287,44010,29168,19908,9510,35210,25971,17516,8307,30483,21708,14498,6744,30528,22735,16047,29913,27165,26386,25151,13200,23869,19555,18179,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),1657,1025,462,1611,1099,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),463,309,165,622,474,306,139,522,420,279,128,406,172,144,69,309,199,164,248,262,282,194,103,17,,,
销售费用(万元),2562,1561,709,3081,2357,1478,659,2914,2239,1586,622,2363,1879,1373,614,2252,1735,1280,2168,2000,2025,1699,846,1669,1578,1192,
管理费用(万元),2087,1202,549,2333,1482,1570,851,2817,2063,1332,863,2470,1998,1186,726,2234,1709,1052,1841,1901,1583,1585,674,1372,1094,918,
财务费用(万元),873,412,167,842,557,339,131,270,171,103,55,643,580,429,217,1095,859,556,1275,1173,1053,667,344,596,355,184,
资产减值损失(万元),,,106,230,179,212,128,108,160,145,99,51,80,76,24,81,127,87,73,51,110,-47,-6,-119,414,87,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),522,394,280,577,500,385,216,523,461,367,222,456,428,321,126,511,361,339,502,349,48,-27,-13,-27,-27,-138,
对联营企业和合营企业的投资收益(万元),522,394,280,577,500,385,216,523,461,367,222,470,441,,133,538,381,,528,376,75,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),6076,3701,1858,3489,1788,1470,827,2678,1870,1541,722,2791,1780,1743,614,4012,2217,2298,4165,3795,4387,3959,2080,3632,2811,2203,
营业外收入(万元),1,,,80,80,80,,7,76,39,,507,170,111,108,21,21,20,287,323,82,199,50,208,37,10,
营业外支出(万元),,,,98,3,,,5,15,0,0,21,3,0,,4,3,3,7,2,4,15,0,6,7,8,
非流动资产处置损失(万元),,,,,,,,,10,0,0,21,3,0,,2,1,1,4,2,4,1,0,5,7,1,
利润总额(万元),6077,3701,1858,3471,1865,1550,827,2679,1930,1580,722,3278,1947,1854,722,4029,2235,2316,4445,4116,4465,4143,2130,3835,2841,2206,
所得税费用(万元),531,195,147,366,246,231,160,437,385,284,114,598,287,247,98,545,373,327,631,514,664,660,327,629,403,309,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),5545,3506,1711,3105,1618,1318,667,2242,1546,1295,608,2680,1660,1607,624,3484,1861,1988,3814,3602,3801,3484,1803,3206,2438,1897,
归属于母公司所有者的净利润(万元),4467,2843,1406,2811,1610,1348,705,2261,1546,1295,608,2680,1660,1607,624,3484,1861,1988,3814,3602,3801,3484,1803,3206,2438,1897,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),1079,663,305,294,8,-30,-38,-19,,,,,,,,,,,,,,,,,,,
基本每股收益,0.3,0.19,0.09,0.19,0.11,0.09,0.05,0.15,0.1,0.09,0.06,0.31,0.2,0.16,0.08,0.46,0.25,0.27,0.52,0.48,0.51,0.46,0.24,0.43,0.33,0.25,
稀释每股收益,0.3,0.19,0.09,0.19,0.11,0.09,0.05,0.15,0.1,0.09,0.06,0.31,0.2,0.16,0.08,0.46,0.25,0.27,0.52,0.48,0.51,0.46,0.24,0.43,0.33,0.25,
