报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),182796,117653,60999,170033,130439,84982,43564,111273,78393,48382,22364,58191,45118,30784,46873,41612,49982,
营业收入(万元),182796,117653,60999,170033,130439,84982,43564,111273,78393,48382,22364,58191,45118,30784,46873,41612,49982,
利息收入(万元),,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,
营业总成本(万元),132338,85076,44086,124865,94409,60390,30257,76706,52701,34062,15702,43816,34851,22520,39488,37616,42966,
营业成本(万元),89907,58735,32024,85924,67077,44301,23808,59668,42213,27257,12290,33701,26063,17584,34009,32623,36789,
利息支出(万元),,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,
研发费用(万元),12172,7490,3637,10118,8494,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,
营业税金及附加(万元),294,196,86,401,286,193,99,382,240,155,77,542,264,263,369,293,156,
销售费用(万元),26798,16842,6894,24768,14418,8321,3020,4697,2309,741,316,996,706,473,502,297,207,
管理费用(万元),2588,1687,795,3742,2834,7111,3545,12297,8054,5581,2898,8483,7921,4167,5001,3848,5086,
财务费用(万元),581,127,39,-31,1304,656,-129,-434,-125,208,39,41,-112,-58,-367,411,719,
资产减值损失(万元),,,610,-57,-4,-191,-86,96,10,119,82,53,10,92,-25,144,8,
公允价值变动收益(万元),,,,,,,,,,,,202,202,202,-365,164,,
投资收益(万元),696,480,35,895,1736,1266,710,677,613,221,54,1530,870,867,2840,1767,958,
对联营企业和合营企业的投资收益(万元),126,82,35,73,64,59,21,53,45,39,20,-41,-127,-113,-90,-15,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,
营业利润(万元),49893,32117,16945,46043,37766,25858,14017,35244,26305,14541,6716,16108,11339,9333,9859,5928,7974,
营业外收入(万元),780,673,520,729,367,191,57,406,190,120,50,11270,11085,10878,294,268,164,
营业外支出(万元),9,4,,,21,10,9,30,21,9,4,17,5,0,1,95,1,
非流动资产处置损失(万元),,,,,,,,,21,9,,17,5,,,95,,
利润总额(万元),50664,32786,17465,46772,38111,26039,14064,35620,26474,14653,6762,27361,22418,20211,10152,6101,8137,
所得税费用(万元),5810,3866,2577,4317,4665,3328,1899,4198,4108,2326,1152,1637,1929,1495,1397,1055,1106,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,
净利润(万元),44854,28920,14888,42455,33446,22712,12165,31422,22366,12327,5609,25724,20489,18716,8755,5046,7031,
归属于母公司所有者的净利润(万元),44854,28920,14888,42455,33446,22712,12165,31422,22366,12327,5609,25724,20489,18716,8755,5049,7032,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,-3,-0,
基本每股收益,0.62,0.52,0.27,0.77,0.61,0.41,0.22,0.81,0.6,0.34,0.12,0.71,0.57,0.52,0.24,0.14,0.2,
稀释每股收益,0.62,0.52,0.27,0.77,0.61,0.41,0.22,0.81,0.6,0.34,0.12,0.71,0.57,0.52,0.24,0.14,0.2,
