报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),90401,57279,23530,108827,79394,48927,20491,114884,79996,51692,24389,88053,18359,79838,80594,81825,
营业收入(万元),90401,57279,23530,108827,79394,48927,20491,114884,79996,51692,24389,88053,18359,79838,80594,81825,
利息收入(万元),,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,
营业总成本(万元),86136,54927,23543,106155,76543,47811,20562,105329,72789,46645,22146,78942,16873,74892,75857,76708,
营业成本(万元),69657,44441,18376,84058,61578,37658,15561,82373,57256,36472,16739,61686,12841,58915,59853,62383,
利息支出(万元),,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,
研发费用(万元),4781,2994,1284,5373,3936,,,,3288,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,
营业税金及附加(万元),697,476,224,994,706,407,207,1010,684,449,238,720,227,561,674,531,
销售费用(万元),5347,3581,1777,8546,6198,4120,2216,9299,6329,4235,2151,7512,1751,6895,6415,5315,
管理费用(万元),5406,3118,1499,6644,4035,4934,2347,10404,3558,4438,2432,8289,1807,7113,6956,5949,
财务费用(万元),248,318,378,143,-8,301,437,1477,1185,667,249,-472,133,619,1593,1377,
资产减值损失(万元),,,4,397,96,390,-206,767,490,385,338,1207,113,788,366,1154,
公允价值变动收益(万元),67,81,-1,-50,,,,,,,,,,,,,
投资收益(万元),574,360,279,485,291,373,163,179,83,,,-675,6,10456,-1035,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,
营业利润(万元),4348,2279,272,3996,4093,2104,193,9873,7306,5047,2243,8436,1493,15402,3702,5116,
营业外收入(万元),66,46,47,306,1,0,19,49,52,54,6,362,8,156,107,212,
营业外支出(万元),201,30,7,74,56,69,2,66,48,42,38,85,35,480,50,67,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,,
利润总额(万元),4213,2295,311,4229,4037,2035,210,9856,7310,5059,2211,8713,1466,15078,3758,5261,
所得税费用(万元),779,473,146,244,770,310,91,2071,1660,1164,428,1593,208,2392,1061,1113,
未确认投资损失(万元),,,,,,,,,,,,,,,,,
净利润(万元),3434,1823,165,3984,3267,1725,119,7785,5650,3894,1782,7120,1258,12686,2697,4148,
归属于母公司所有者的净利润(万元),3471,1876,194,4159,3384,1774,134,7776,5622,3836,1757,7163,1238,12669,2609,4121,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,
少数股东损益(万元),-37,-53,-29,-174,-117,-50,-15,10,28,58,25,-43,20,17,88,27,
基本每股收益,0.26,0.14,0.01,0.32,0.26,0.13,0.01,0.79,0.57,0.39,0.18,0.72,0.14,1.42,0.29,0.46,
稀释每股收益,0.26,0.14,0.01,0.32,0.26,0.13,0.01,0.79,0.57,0.39,0.18,0.72,0.14,1.42,0.29,0.46,
