报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),1133192,713618,1565031,1109889,705472,1216615,814277,465149,
营业收入(万元),1133192,713618,1565031,1109889,705472,1216615,814277,465149,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),1101256,693998,1517609,1078786,686162,1181864,779821,455858,
营业成本(万元),1069773,673416,1471263,1043861,663692,1143349,744672,426082,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),15731,10282,21941,16174,10448,,,,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),2189,1344,2968,2064,1221,2150,1217,449,
销售费用(万元),8438,5524,11500,8416,5578,9074,7330,4383,
管理费用(万元),3330,2102,4553,3348,2151,19563,19233,18207,
财务费用(万元),1795,1329,5837,4923,3104,6880,7122,6606,
资产减值损失(万元),,,-452,,-32,848,247,132,
公允价值变动收益(万元),-74,6,4,-28,-339,525,-554,34,
投资收益(万元),97,96,-226,-143,27,-309,146,182,
对联营企业和合营企业的投资收益(万元),,,,,,,,,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),33681,20707,48895,32543,20323,35543,33992,9524,
营业外收入(万元),323,308,79,38,38,113,1178,757,
营业外支出(万元),75,63,49,18,18,1,221,297,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),33929,20952,48924,32563,20343,35654,34948,9983,
所得税费用(万元),6217,3813,10177,6217,4032,8343,6648,2134,
未确认投资损失(万元),,,,,,,,,
净利润(万元),27712,17139,38747,26346,16312,27311,28300,7849,
归属于母公司所有者的净利润(万元),23908,14721,33121,22629,13847,21586,24707,7772,
被合并方在合并前实现净利润(万元),,,,,,,,,
少数股东损益(万元),3803,2418,5626,3717,2465,5725,3593,77,
基本每股收益,1.38,0.85,1.91,1.31,0.8,1.25,1.43,0.45,
稀释每股收益,1.38,0.85,1.91,1.31,0.8,1.25,1.43,0.45,
