报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),46886,26148,5879,69822,46402,30726,63138,56473,40747,
营业收入(万元),46886,26148,5879,69822,46402,30726,63138,56473,40747,
利息收入(万元),,,,,,,,,,
已赚保费(万元),,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,
其他业务收入(万元),,,,,,,,,,
营业总成本(万元),33162,18480,4957,52176,36095,24497,47258,41329,34556,
营业成本(万元),23719,13399,3149,35856,23860,16330,31036,29084,22585,
利息支出(万元),,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,
研发费用(万元),1474,913,269,2817,2099,1384,2361,2342,1692,
退保金(万元),,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,
保单红利支出(万元),,,,,,,,,,
分保费用(万元),,,,,,,,,,
其他业务成本(万元),,,,,,,,,,
营业税金及附加(万元),618,359,110,590,517,339,996,840,428,
销售费用(万元),5520,3140,1177,9392,6529,4549,9669,6203,7565,
管理费用(万元),2729,1243,550,3797,3134,1851,3229,2729,2292,
财务费用(万元),-899,-574,-299,-275,-45,-17,-29,18,-16,
资产减值损失(万元),,,,,,23,-5,113,12,
公允价值变动收益(万元),112,131,-113,390,499,424,,,,
投资收益(万元),214,143,104,941,618,273,641,295,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,
汇兑收益(万元),,,,,,,,,,
期货损益(万元),,,,,,,,,,
托管收益(万元),,,,,,,,,,
补贴收入(万元),,,,,,,,,,
其他业务利润(万元),,,,,,,,,,
营业利润(万元),15180,9051,1920,20569,13028,8484,17550,15675,7319,
营业外收入(万元),23,17,3,61,12,6,16,12,14,
营业外支出(万元),177,177,158,96,61,61,52,43,54,
非流动资产处置损失(万元),,,,,,,,,,
利润总额(万元),15026,8891,1765,20533,12980,8430,17515,15644,7279,
所得税费用(万元),2545,1313,261,3137,2191,1265,2497,2223,1090,
未确认投资损失(万元),,,,,,,,,,
净利润(万元),12481,7578,1504,17397,10789,7165,15018,13420,6189,
归属于母公司所有者的净利润(万元),12481,7578,1504,17397,10789,7165,15018,13420,6189,
被合并方在合并前实现净利润(万元),,,,,,,,,,
少数股东损益(万元),,,,,,,,,,
基本每股收益,1.18,0.72,0.14,1.65,1.02,0.68,1.49,1.4,,
稀释每股收益,1.18,0.72,0.14,1.65,1.02,0.68,1.49,1.4,,
