报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),177407,121981,69483,163181,86465,53378,32932,101621,63007,45763,27517,91451,57297,39906,23465,94971,57823,101263,77356,56393,
营业收入(万元),177407,121981,69483,163181,86465,53378,32932,101621,63007,45763,27517,91451,57297,39906,23465,94971,57823,101263,77356,56393,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),112651,80929,49684,134809,71531,41963,25130,75055,47928,35490,22357,69334,43821,30963,18777,74307,44890,78887,56583,43462,
营业成本(万元),86270,61830,39242,92937,54342,36712,24135,68648,43751,32610,21071,62523,39319,27925,17389,67674,40894,72537,51093,35198,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),674,367,266,829,578,380,217,746,480,347,208,731,403,280,99,1019,428,1020,826,676,
销售费用(万元),6785,4710,2098,4392,1755,772,392,1728,1066,779,335,1412,907,607,303,1415,896,1250,1046,744,
管理费用(万元),12329,9455,5158,26327,7708,2269,944,4282,2903,1790,815,4375,2903,1918,914,3889,2662,3835,2929,5597,
财务费用(万元),6593,4567,2962,10274,7103,1740,-539,-635,-461,-173,-62,64,210,159,71,102,37,99,606,858,
资产减值损失(万元),,,-42,50,46,90,-19,284,188,137,-12,229,79,74,2,208,-27,146,82,388,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,
投资收益(万元),5,5,,156,156,156,151,1554,1303,1290,391,7,7,7,,12,12,4,32,10,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,
营业利润(万元),74760,46453,22852,33477,19620,12555,8625,31118,17414,12332,5551,22123,13483,8950,4688,20676,12945,22380,20805,12941,
营业外收入(万元),111,16,4,21010,261,2,0,7,736,725,964,2215,830,604,334,3277,2176,2989,3494,1048,
营业外支出(万元),63,9,5,71,38,6,5,110,91,58,5,113,109,2,,15,13,76,77,300,
非流动资产处置损失(万元),,,,,,,,,,5,,3,,0,,3,,67,66,294,
利润总额(万元),74809,46460,22852,54416,19843,12550,8620,31014,18059,12999,6510,24225,14205,9552,5022,23938,15108,25293,24223,13690,
所得税费用(万元),20586,13953,6395,12392,5454,2303,1250,4644,2732,1948,963,3889,2243,1574,505,3897,2359,3596,4014,2447,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,
净利润(万元),54223,32507,16456,42024,14389,10247,7370,26370,15327,11051,5546,20336,11961,7978,4518,20040,12749,21697,20209,11243,
归属于母公司所有者的净利润(万元),26967,15590,7723,33457,12459,10247,7370,26370,15327,11051,5546,20336,11961,7978,4518,20040,12749,21697,20209,11243,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),27256,16917,8733,8567,1929,,,,,,,,,,,,,,,,
基本每股收益,1.2,0.7,0.48,2.09,0.78,0.64,0.46,1.65,0.96,0.69,0.35,1.56,1,0.66,0.38,1.67,1.06,1.81,1.68,1.02,
稀释每股收益,1.2,0.7,0.48,2.09,0.78,0.64,0.45,1.65,0.96,0.69,0.35,1.56,1,0.66,0.38,1.67,1.06,1.81,1.68,1.02,
