报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),95262,63303,23398,94855,65409,34196,13989,101714,93017,53729,18516,54991,37481,23778,9866,48702,36877,24012,8740,55764,54708,45986,36809,
营业收入(万元),95262,63303,23398,94855,65409,34196,13989,101714,93017,53729,18516,54991,37481,23778,9866,48702,36877,24012,8740,55764,54708,45986,36809,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),92343,62208,23704,93958,65487,33783,14843,97338,88641,51034,17498,52129,35333,22489,9444,45406,34624,22719,8558,52140,51450,42587,34030,
营业成本(万元),87759,59004,21985,86059,60956,31127,12799,90872,85043,49021,16578,47745,32098,20359,8296,40316,30678,20189,7319,47945,47901,39411,31362,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),217,146,68,239,172,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),365,228,143,416,237,89,48,444,295,165,51,334,223,176,85,362,264,185,76,396,293,321,291,
销售费用(万元),869,574,273,1444,955,655,323,1362,832,503,243,1115,705,472,231,1107,775,504,218,949,929,873,748,
管理费用(万元),1682,1143,568,2939,1752,1276,691,2101,1323,765,365,1863,1307,890,366,1472,1040,679,330,1254,1075,1100,914,
财务费用(万元),1451,1112,510,2561,1688,946,743,1674,1023,609,219,888,736,541,332,1431,1097,763,338,1444,1196,990,583,
资产减值损失(万元),,,157,301,-273,-310,238,885,125,-29,43,183,264,51,134,717,769,400,276,152,57,-107,132,
公允价值变动收益(万元),,,,,0,,,,,,,,,,,,,,,,,,,
投资收益(万元),306,306,306,7,7,,,,,,,,,,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),3196,1726,18,969,-38,417,-851,5370,4376,2695,1018,2862,2148,1289,422,3296,2253,1293,183,3623,3258,3399,2779,
营业外收入(万元),7,2,0,9,9,0,0,0,360,24,8,1304,770,463,7,729,374,205,36,129,411,323,61,
营业外支出(万元),377,60,50,516,0,0,7,25,106,86,0,48,34,15,8,284,62,50,0,114,178,144,6,
非流动资产处置损失(万元),,,,,,,,,84,64,,27,14,,8,12,12,,,102,165,141,5,
利润总额(万元),2825,1668,-32,462,-30,417,-858,5345,4630,2633,1025,4118,2884,1737,421,3741,2565,1448,219,3638,3492,3579,2835,
所得税费用(万元),495,285,52,548,365,343,54,999,841,492,191,543,412,280,40,477,264,153,4,400,323,415,452,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),2331,1383,-85,-86,-395,74,-912,4346,3789,2141,835,3574,2471,1457,381,3265,2302,1294,215,3238,3169,3164,2383,
归属于母公司所有者的净利润(万元),2665,1830,281,581,51,98,-861,4122,3619,2006,741,3543,2482,1464,384,3273,2297,1295,215,3238,3171,3160,2383,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-334,-447,-366,-667,-445,-24,-51,223,171,135,94,31,-10,-7,-3,-8,5,-1,,,-2,4,-0,
基本每股收益,0.36,0.25,0.04,0.08,0.01,0.01,-0.12,0.55,0.48,0.27,0.1,0.53,0.39,0.25,0.07,0.58,0.41,0.23,0.04,0.58,0.57,0.56,0.45,
稀释每股收益,0.36,0.25,0.04,0.08,0.01,0.01,-0.12,0.55,0.48,0.27,0.1,0.53,0.29,0.18,0.07,0.58,0.36,0.21,0.04,0.58,0.57,0.56,0.45,
