报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),133545,73043,24205,128287,86126,48052,19921,100974,68486,42222,18060,76649,52242,32519,10369,65727,45172,19381,45786,33949,30176,
营业收入(万元),133545,73043,24205,128287,86126,48052,19921,100974,68486,42222,18060,76649,52242,32519,10369,65727,45172,19381,45786,33949,30176,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),115481,64134,23323,114556,75695,42532,19004,89110,59552,36169,15913,64657,42991,26734,9138,55542,39369,17371,40547,30389,26155,
营业成本(万元),89480,50354,17646,86297,56681,31731,14388,67723,46401,28611,12555,52314,35866,22311,7366,45355,31985,14220,33715,25306,22098,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),5182,3018,1220,5504,3927,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),1266,623,277,1441,1175,753,253,1119,754,439,200,769,385,231,75,563,326,112,403,168,187,
销售费用(万元),13799,6779,2460,12672,8139,4575,2092,10557,6634,3931,1611,5274,2725,1769,713,3965,2537,916,2083,1718,1349,
管理费用(万元),4529,2543,1075,6294,4377,5164,2285,7766,4831,2846,1509,5993,3640,2329,945,5330,4368,2039,3946,2966,2467,
财务费用(万元),1225,815,441,1368,765,347,127,913,438,205,7,-198,-124,-110,-37,-209,-47,-32,166,109,88,
资产减值损失(万元),,,202,980,632,-38,-140,1031,494,136,30,504,500,204,77,539,200,116,234,123,-35,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),474,248,9,1645,982,524,79,1367,697,350,43,,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),20856,9301,1044,17267,12269,6634,1080,15840,9816,6538,2189,11991,9251,5786,1230,10185,5803,2010,5239,3560,4021,
营业外收入(万元),124,5,1,44,1,0,0,175,588,378,70,1062,763,595,66,1106,1298,811,1011,1128,407,
营业外支出(万元),196,13,,57,26,21,,32,76,35,34,262,164,56,18,428,78,23,110,106,56,
非流动资产处置损失(万元),,,,,,,,,66,35,,184,95,29,,337,6,,26,,,
利润总额(万元),20785,9293,1045,17254,12244,6614,1080,15983,10328,6880,2226,12792,9849,6325,1278,10863,7023,2798,6140,4583,4373,
所得税费用(万元),2471,1150,131,2380,1590,902,135,2226,1411,943,286,1856,1438,893,179,1491,953,363,909,631,627,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,
净利润(万元),18314,8144,914,14874,10654,5712,946,13757,8918,5937,1940,10936,8411,5432,1099,9373,6070,2436,5230,3952,3746,
归属于母公司所有者的净利润(万元),17975,8146,1041,15270,10788,5770,950,13753,8899,5943,1939,10936,8411,5432,1099,9373,6070,2436,5230,3952,3746,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),339,-3,-127,-396,-134,-58,-4,4,18,-6,1,,,,,,,,,,,
基本每股收益,2.22,1.01,0.13,1.89,1.33,0.71,0.12,1.78,1.17,0.8,0.29,1.8,1.39,0.9,0.18,1.55,1,0.4,0.86,0.65,0.62,
稀释每股收益,2.22,1.01,0.13,1.89,1.33,0.71,0.12,1.78,1.17,0.8,0.29,1.8,1.39,0.9,0.18,1.55,1,0.4,0.86,0.65,0.62,
