报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),344459,242739,124792,569366,375145,252328,121041,455103,292621,196634,327675,214910,269484,231386,194544,
营业收入(万元),344459,242739,124792,569366,375145,252328,121041,455103,292621,196634,327675,214910,269484,231386,194544,
利息收入(万元),,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,
营业总成本(万元),332417,226742,117854,515732,340707,227133,110868,413906,269703,178821,320795,205561,245490,213837,177733,
营业成本(万元),216214,152254,79115,353912,236450,159998,78362,288605,189864,129086,216651,141065,184017,162927,138894,
利息支出(万元),,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,
研发费用(万元),19571,12534,6318,20513,15024,,4535,,8934,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,
营业税金及附加(万元),2633,2019,1473,3117,2636,2179,1079,3984,2404,1700,2119,1307,1912,1313,733,
销售费用(万元),72042,43879,20291,107152,66863,40953,17279,72701,42536,26379,51983,33013,36999,28839,20516,
管理费用(万元),23197,15336,7359,29358,21461,23341,5907,40432,20305,18921,49912,30863,23086,19945,15956,
财务费用(万元),-1239,721,2970,-2782,-4510,-782,2969,3324,1817,568,-2633,-1312,-2020,254,1137,
资产减值损失(万元),,,547,4462,2783,1445,736,4860,3844,2168,2763,625,1494,560,497,
公允价值变动收益(万元),-8,-0,0,-27,-909,-529,-42,245,223,254,891,578,-3037,227,1231,
投资收益(万元),-509,-386,-15,-1296,-479,246,70,1860,1418,868,-1001,-964,-442,714,1038,
对联营企业和合营企业的投资收益(万元),-518,-386,,,129,206,,728,458,469,572,286,77,,,
汇兑收益(万元),,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,
营业利润(万元),11747,15696,7708,54587,34387,25756,11018,45232,26223,19737,6770,8963,20515,18490,19080,
营业外收入(万元),579,97,323,1955,850,137,355,694,374,345,1700,1085,1214,1885,1211,
营业外支出(万元),295,87,25,328,300,269,14,441,33,34,182,178,145,42,84,
非流动资产处置损失(万元),,,,,,,,,,5,,89,,14,12,
利润总额(万元),12031,15706,8005,56214,34938,25623,11360,45485,26564,20048,8288,9870,21583,20333,20207,
所得税费用(万元),1906,2552,993,7698,6213,4906,2186,8003,5179,3911,3002,1954,3669,3723,3262,
未确认投资损失(万元),,,,,,,,,,,,,,,,
净利润(万元),10125,13154,7012,48515,28726,20717,9174,37482,21384,16137,5286,7916,17914,16610,16945,
归属于母公司所有者的净利润(万元),10117,13154,7014,48509,28751,20756,9204,37566,21480,16192,5101,7748,17877,15729,16364,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,
少数股东损益(万元),8,-0,-3,7,-25,-39,-30,-85,-96,-55,185,169,37,881,581,
基本每股收益,0.18,0.23,0.18,1.27,0.76,0.57,0.26,1.04,0.6,0.45,0.21,0.37,1.15,1.08,4.82,
稀释每股收益,0.18,0.23,0.18,1.27,0.76,0.57,0.26,1.04,0.6,0.45,0.21,0.37,1.15,1.08,4.82,
