报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),1053152,604532,290809,1289632,871463,483473,204332,1014333,634111,396897,198043,688693,438711,251607,440509,183501,326956,337632,347962,261134,853173,730698,744255,
营业收入(万元),1053152,604532,290809,1289632,871463,483473,204332,1013582,633360,396146,197469,687019,437764,250989,440167,183501,326956,337632,347962,261134,853173,730698,744255,
利息收入(万元),,,,,,,,751,751,751,574,1675,948,618,342,,,,,0,0,0,0,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
营业总成本(万元),1041977,595962,284629,1276419,862089,476374,198257,1001034,623395,388747,191879,678874,431165,246619,431735,179501,316760,329362,340103,257826,850542,768674,753658,
营业成本(万元),1038120,592153,283958,1268669,858972,473522,197858,993413,618475,386305,191118,675204,428369,245512,427994,176705,314859,327883,338031,256221,840984,722279,736222,
利息支出(万元),,,,,,,,,,,,70,61,49,8,,,,,0,0,0,0,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
研发费用(万元),127,,,,,,,,,,,,,,,,,,,0,0,0,0,
退保金(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
分保费用(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
营业税金及附加(万元),184,159,79,270,219,71,49,180,135,96,49,159,78,56,123,49,160,90,523,316,629,636,342,
销售费用(万元),1185,430,202,754,616,334,107,630,372,211,113,511,369,164,238,85,206,179,209,457,1132,687,1304,
管理费用(万元),4087,2117,1077,4946,3365,2081,1089,6000,3957,2411,1174,4807,3409,2234,4362,2046,3582,3494,3688,1238,2970,2255,1582,
财务费用(万元),-1727,1103,-376,1001,-1245,432,-598,273,-8,-70,-783,-2386,-1368,-1533,-1010,607,-2195,-2371,-2344,-190,4490,43286,13814,
资产减值损失(万元),,,-311,778,161,-66,-248,537,464,-206,208,509,248,137,19,8,148,87,-3,-216,338,-469,394,
公允价值变动收益(万元),-542,-72,,542,,,,,,,,,,,,,,,,5655,-19344,8240,12349,
投资收益(万元),1616,876,199,1062,960,684,316,780,596,547,187,174,126,106,554,345,659,523,488,2456,31091,39026,2823,
对联营企业和合营企业的投资收益(万元),53,,,,,,,,,,,,,,,,,,,0,0,0,0,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
期货损益(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
托管收益(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
营业利润(万元),14221,9840,6417,16674,12491,9124,6565,14287,11312,8697,6350,9994,7672,5094,9328,4345,10856,8792,8347,11420,14378,9289,5769,
营业外收入(万元),4,,,140,,,,2,183,77,31,1474,1137,1006,551,152,351,730,357,153,772,160,12,
营业外支出(万元),4,4,4,513,25,1,0,3,3,1,2,12,9,9,98,26,39,2,85,0,49,12,5,
非流动资产处置损失(万元),,,,,,,,,1,1,,8,1,1,,,9,2,0,0,45,0,0,
利润总额(万元),14221,9835,6413,16301,12466,9123,6565,14286,11492,8773,6379,11456,8800,6091,9781,4471,11167,9519,8619,11573,15101,9438,5775,
所得税费用(万元),2400,1622,1022,2666,2141,1470,1037,2396,2169,1502,1015,2382,1519,1011,1598,706,1821,1498,1764,2715,3275,2012,1105,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
净利润(万元),11821,8213,5391,13636,10325,7653,5528,11890,9323,7270,5364,9074,7281,5080,8183,3765,9346,8021,6854,8858,11826,7426,4670,
归属于母公司所有者的净利润(万元),11507,8095,5344,13473,10246,7589,5506,11834,9240,7239,5351,9057,7281,5080,8183,3765,9346,8021,6854,8858,11826,7403,4673,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,0,0,0,0,
少数股东损益(万元),314,118,47,162,80,64,23,56,83,31,13,17,-0,-0,,,,,,0,0,23,-3,
基本每股收益,0.83,0.59,0.39,0.98,0.74,0.55,0.4,1,0.83,0.7,0.52,0.87,0.7,0.49,0.8,0.38,0.93,0.8,0.69,0.89,1.18,0.74,0.47,
稀释每股收益,0.83,0.59,0.39,0.98,0.74,0.55,0.4,1,0.83,0.7,0.52,0.87,0.7,0.49,0.8,0.38,0.93,0.8,0.69,0.89,1.18,0.74,0.47,
