报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,
营业总收入(万元),41676,28358,12757,61889,47716,31434,12479,65549,47657,30578,12113,59165,39450,54332,43293,
营业收入(万元),41676,28358,12757,61889,47716,31434,12479,65549,47657,30578,12113,59165,39450,54332,43293,
利息收入(万元),,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,
营业总成本(万元),37540,25751,11510,55103,42110,28245,11235,58109,42054,27487,10836,52287,35239,48799,39775,
营业成本(万元),34220,23588,10903,50403,38464,25808,10224,53285,38685,25413,9926,47820,32237,44150,36904,
利息支出(万元),,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,
研发费用(万元),278,174,81,354,247,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,
营业税金及附加(万元),419,271,71,588,471,380,81,515,214,121,14,517,283,295,,
销售费用(万元),899,562,279,1103,788,559,252,991,751,426,200,823,495,898,824,
管理费用(万元),1139,788,349,1476,1103,902,470,1601,1163,775,371,1536,905,1563,1322,
财务费用(万元),585,368,170,898,697,434,351,1541,1133,780,343,1403,967,1606,540,
资产减值损失(万元),,,-343,282,341,162,-143,177,109,-28,-19,189,351,287,184,
公允价值变动收益(万元),,,,,,,,,,,,,,,,
投资收益(万元),,,,,,,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,
营业利润(万元),4240,2732,1248,6861,5668,3251,1244,7440,5603,3091,1277,6878,4211,5534,3519,
营业外收入(万元),80,80,80,269,120,120,17,8,4,4,,13,3,1,0,
营业外支出(万元),0,0,0,0,0,0,,21,19,1,0,9,9,655,19,
非流动资产处置损失(万元),,,,,,,,,19,1,,,,655,19,
利润总额(万元),4320,2812,1328,7130,5787,3371,1261,7428,5588,3093,1277,6882,4205,4879,3500,
所得税费用(万元),615,401,213,1132,882,551,195,1176,908,510,219,1059,644,867,749,
未确认投资损失(万元),,,,,,,,,,,,,,,,
净利润(万元),3705,2410,1115,5997,4905,2820,1066,6251,4680,2583,1057,5823,3561,4012,2750,
归属于母公司所有者的净利润(万元),3663,2432,1238,5898,4800,2797,1223,6239,4626,2635,1110,5829,3479,3972,2519,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,996,
少数股东损益(万元),42,-22,-123,100,105,23,-157,13,54,-52,-53,-6,82,40,232,
基本每股收益,0.15,0.1,0.05,0.25,0.2,0.12,0.05,0.35,0.26,0.15,0.06,0.32,0.19,0.23,0.18,
稀释每股收益,0.15,0.1,0.05,0.25,0.2,0.12,0.05,0.35,0.26,0.15,0.06,0.32,0.19,0.23,0.18,
