报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),521647,331891,159878,1135976,852450,563190,246527,1036608,740492,464528,182282,811150,673784,568410,
营业收入(万元),521647,331891,159878,1135976,852450,563190,246527,1036608,740492,464528,182282,811150,673784,568410,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),475275,307094,146024,986913,728403,480508,207711,910904,645175,407332,159539,745366,627588,518213,
营业成本(万元),395850,253768,116165,813134,610431,404268,176898,757688,542972,340602,130686,642892,542690,457804,
利息支出(万元),,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),23429,16021,8395,51676,29596,16996,,,24174,15673,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),1678,1214,637,6175,4172,3122,1239,6372,4789,3092,1291,3759,3021,1644,
销售费用(万元),23770,14908,7077,38530,25969,16855,6414,30488,21174,12607,5096,19943,16299,12115,
管理费用(万元),30749,20753,12635,64692,47898,31347,20759,96807,42498,28640,19895,66223,49490,40527,
财务费用(万元),-200,429,292,4015,3778,3098,900,7816,6604,3639,907,11221,12583,4970,
资产减值损失(万元),,,491,3862,3309,2732,1501,11733,2964,3078,1664,1327,3505,1153,
公允价值变动收益(万元),10,21,16,26,55,46,6,24,26,10,7,-10,-59,,
投资收益(万元),10195,6855,2632,15106,14878,8906,3947,16109,12079,7142,2349,11342,8639,3435,
对联营企业和合营企业的投资收益(万元),10014,6713,2576,15209,14710,8793,3883,15912,11027,7072,2321,10504,7996,2819,
汇兑收益(万元),,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),72847,48152,28380,166707,140553,92789,43016,144670,108263,64614,25206,76907,54556,53632,
营业外收入(万元),158,141,50,351,145,119,40,170,390,95,19,2644,7778,2440,
营业外支出(万元),66,56,54,106,82,49,29,153,81,77,146,222,31,426,
非流动资产处置损失(万元),,,,,,,,,,,,,,342,
利润总额(万元),72939,48237,28375,166953,140617,92858,43027,144687,108572,64632,25079,79329,62303,55646,
所得税费用(万元),9188,5729,3746,18149,16645,11435,5319,21230,16192,9315,3492,9959,7255,7070,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),63751,42509,24629,148803,123972,81423,37708,123458,92380,55317,21587,69370,55048,48576,
归属于母公司所有者的净利润(万元),65323,43680,25342,148919,123714,80868,37207,126835,93012,56052,22119,71709,56326,48807,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,
少数股东损益(万元),-1572,-1171,-713,-115,258,555,502,-3377,-632,-735,-532,-2339,-1278,-231,
基本每股收益,0.86,0.58,0.33,2.09,1.76,1.19,0.55,1.86,1.36,0.82,0.32,1.05,0.88,1,
稀释每股收益,0.86,0.58,0.33,2.09,1.76,1.19,0.55,1.86,1.36,0.82,0.32,1.05,0.88,1,
