报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),299656,195633,99254,380808,279153,187177,94761,296252,196421,124869,54693,256480,170940,249697,116676,238835,220598,205172,153142,
营业收入(万元),299656,195633,99254,380808,279153,187177,94761,296252,196421,124869,54693,256480,170940,249697,116676,238835,220598,205172,153142,
利息收入(万元),,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,
营业总成本(万元),256082,169073,88197,330818,241057,162768,81709,257718,173496,110595,48711,228517,153082,222774,103156,213727,199410,172433,126038,
营业成本(万元),129271,83903,43365,162174,116623,79440,42089,144923,101131,67288,28246,149930,99177,157592,73141,152224,140051,121404,92070,
利息支出(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,
研发费用(万元),21182,16501,10829,32598,17191,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),4251,2795,1570,6416,4754,3230,1577,4765,3293,2218,978,4034,1864,1987,835,1769,1752,1407,1145,
销售费用(万元),88113,57063,27476,108944,88514,60671,30250,76081,42535,26145,13893,46987,28247,34204,15742,33130,32803,30737,19796,
管理费用(万元),13371,8902,4401,16298,10812,16255,7145,29404,25859,14522,4690,24986,20288,24734,10699,24109,22357,16672,12178,
财务费用(万元),-105,-92,-69,68,-239,-263,12,-32,-567,-198,53,322,319,824,333,658,536,-78,-67,
资产减值损失(万元),,,624,4319,3401,3436,636,2577,1245,621,850,2256,3186,3433,2405,1837,1911,2292,916,
公允价值变动收益(万元),106,107,153,-567,-448,-346,,,,,,,,,,,,,,
投资收益(万元),6297,4338,2829,4734,3504,1652,844,687,-124,-114,-99,-1002,93,77,67,-951,-382,-91,-85,
对联营企业和合营企业的投资收益(万元),-28,-66,-7,115,298,409,374,-251,-124,-114,-99,-1070,93,77,67,-951,-382,-91,-85,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,
营业利润(万元),47817,28657,14367,56561,42907,26881,14429,41621,22801,14160,6596,26961,17951,27000,13587,24158,20806,32648,27019,
营业外收入(万元),411,294,147,351,215,160,50,760,1578,1107,62,2048,1594,2010,656,1726,3211,923,1036,
营业外支出(万元),34,32,0,114,37,148,1,124,14,1,0,89,67,468,355,245,95,33,286,
非流动资产处置损失(万元),,,,,,,,,1,0,,22,,401,352,236,37,5,-12,
利润总额(万元),48195,28919,14514,56798,43086,26893,14478,42256,24365,15267,6658,28920,19478,28541,13887,25639,23922,33537,27768,
所得税费用(万元),7037,3616,1741,6492,5576,3447,2496,5689,4119,2558,1542,4457,3315,3979,2339,3745,3219,5151,4076,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,
净利润(万元),41158,25303,12773,50305,37510,23446,11983,36568,20246,12709,5116,24463,16162,24562,11549,21894,20703,28386,23693,
归属于母公司所有者的净利润(万元),41145,25291,12764,50354,37564,23513,11990,36722,20410,12773,5124,24688,16411,24685,11626,22015,20830,28386,23693,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),12,12,9,-49,-54,-67,-7,-154,-164,-64,-8,-225,-249,-123,-77,-121,-127,,-0,
基本每股收益,0.91,0.56,0.28,1.11,0.83,0.52,0.26,0.97,0.58,0.36,0.14,0.7,0.46,0.7,0.33,0.62,0.59,0.8,0.68,
稀释每股收益,0.91,0.56,0.28,1.11,0.83,0.52,0.26,0.97,0.58,0.36,0.14,0.7,0.46,0.7,0.33,0.62,0.59,0.8,0.68,
