报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),207422,137082,267536,188098,216163,100344,160948,135298,134638,84116,54067,23970,58698,34710,21030,10221,31634,20847,12203,4834,15614,7142,4816,5426,
营业收入(万元),207422,137082,267536,188098,216163,100344,160948,135298,134638,84116,54067,23970,58698,34710,21030,10221,31634,20847,12203,4834,13719,6634,4110,5097,
利息收入(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,0,1895,508,706,329,
营业总成本(万元),168431,112160,214311,148862,182027,86274,125141,107318,99948,66723,40001,18182,45925,26182,15616,7515,25464,16764,9746,4133,12766,7136,3971,4625,
营业成本(万元),136918,90559,172937,121812,144124,67434,99700,83402,77035,50889,32960,14505,36059,20867,12698,6182,20551,13862,8280,3453,9423,4771,2192,3726,
利息支出(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
研发费用(万元),12811,7773,16969,11051,14072,,,,,,,,,,,,,,,0,0,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,0,868,89,,,
营业税金及附加(万元),1313,963,919,713,1339,590,855,416,371,136,65,37,148,73,42,11,7,-3,7,0,39,14,11,8,
销售费用(万元),4105,2458,5147,3642,4606,2723,4117,4469,4679,2913,1566,587,1955,954,440,212,728,565,288,126,410,320,224,0,
管理费用(万元),12208,7993,15975,11727,15107,14499,18698,17204,14058,9525,4467,2589,6255,3473,1857,1079,3028,1997,1156,621,2043,1885,1465,797,
财务费用(万元),1076,617,600,-83,1767,606,406,1024,3242,1173,942,464,1042,815,580,30,812,343,14,-66,-17,57,79,94,
资产减值损失(万元),,924,1765,,1011,422,1367,802,562,2087,,,466,,,,337,,,0,0,,,,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,0,0,24,-40,35,
投资收益(万元),3251,1701,4685,2529,3523,913,2998,3333,3555,0,,,-1581,,,,1,,,0,-53,16,-4,,
对联营企业和合营企业的投资收益(万元),2726,1701,4685,2055,3523,913,2998,3333,2001,,,,,,,,,,,0,0,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
营业利润(万元),41984,27525,59683,40689,39890,15381,38805,31313,38245,17393,14065,5789,11193,8528,5414,2706,6171,4083,2457,701,2795,46,801,837,
营业外收入(万元),133,79,240,130,316,183,2607,2271,1917,187,118,30,575,461,455,31,744,234,205,10,175,222,170,5,
营业外支出(万元),90,64,131,84,134,54,664,253,321,49,21,13,39,37,24,22,86,56,7,2,17,36,26,4,
非流动资产处置损失(万元),,,,,,8,49,147,3,,,,16,,,,0,,,0,0,,7,4,
利润总额(万元),42027,27540,59792,40735,40072,15511,40748,33331,39840,17531,14162,5806,11728,8952,5846,2715,6830,4261,2655,709,2954,232,945,837,
所得税费用(万元),5431,3579,7035,5579,4845,1932,5068,4209,6215,2993,2479,895,2050,1457,978,431,965,650,407,111,411,55,138,69,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,-3,0,,,,
净利润(万元),36596,23961,52757,35156,35227,13578,35681,29122,33625,14538,11683,4911,9678,7495,4868,2284,5865,3611,2248,601,2543,177,808,768,
归属于母公司所有者的净利润(万元),32091,21065,48311,32493,33477,13184,35088,28805,33159,14155,11314,4738,9708,7533,4868,2300,5886,3640,2254,601,2548,217,821,768,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,0,0,,,,
少数股东损益(万元),4505,2896,4447,2662,1750,394,593,318,466,383,369,173,-30,-38,,-16,-21,-29,-6,0,-5,-40,-13,,
基本每股收益,0.89,0.59,1.34,0.9,0.95,0.39,,,,,,,,,,,,,,0,0,,,,
稀释每股收益,0.89,0.59,1.34,0.9,0.95,0.39,,,,,,,,,,,,,,0,0,,,,
