报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),128379,79373,6167,101548,19566,10236,5494,78294,21159,12733,6113,74951,22133,13759,5883,61772,56583,11120,50349,38533,24840,
营业收入(万元),128379,79373,6167,101548,19566,10236,5494,78294,21159,12733,6113,74951,22133,13759,5883,61772,56583,11120,50349,38533,24840,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),122924,76797,12251,97256,37118,22619,10340,70518,28250,16625,6912,64822,30918,19936,9276,57059,44955,13784,48559,32296,22551,
营业成本(万元),76563,50966,3725,50996,12039,6858,3625,38786,12170,7204,2880,38705,13239,8028,3536,31377,21349,5569,18446,15065,10304,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),22114,11652,3658,12427,10462,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),675,421,74,581,248,115,9,492,174,134,31,451,208,89,25,339,512,72,518,803,840,
销售费用(万元),10603,6104,1888,12290,6650,3989,1616,8884,4601,2700,1202,6906,4725,3193,1403,5432,6972,2155,6148,4704,3146,
管理费用(万元),15442,9059,2917,19813,7214,11337,4288,22522,11701,7032,2925,18541,12741,8653,4423,19187,15450,5083,22916,11498,8284,
财务费用(万元),-2473,-1405,-61,-504,-109,-99,-52,-429,-342,-274,-143,-443,-362,-274,-132,-587,-408,9,191,7,-1,
资产减值损失(万元),,,51,1654,614,419,854,262,-55,-172,17,663,367,247,21,1311,1079,897,340,218,-22,
公允价值变动收益(万元),-39,-39,,,,,,,,,,,,,,,,,,,,
投资收益(万元),52876,52976,1900,5803,4334,3111,1396,3818,2532,1445,690,1164,955,491,194,0,,,,,,
对联营企业和合营企业的投资收益(万元),2826,2652,1864,4972,3605,2415,1345,3613,2463,1445,690,1164,955,491,194,0,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),59301,56457,-4042,12552,-12577,-8857,-2929,14861,-1820,142,-109,11292,-7831,-5686,-3199,4713,11628,-2664,1790,6238,2290,
营业外收入(万元),33,28,3,108,587,311,0,21,3,1,181,3016,811,200,158,3315,3008,695,2106,421,176,
营业外支出(万元),22,6,5,131,100,100,0,36,0,0,0,370,1,0,0,155,224,10,18,23,3,
非流动资产处置损失(万元),,,,,,,,,,,,1,,,,,26,10,14,10,,
利润总额(万元),59312,56479,-4044,12530,-12091,-8646,-2929,14846,-1818,143,72,13939,-7021,-5486,-3042,7873,14412,-1979,3877,6636,2462,
所得税费用(万元),1212,1577,-616,1333,-406,-277,-77,1036,108,121,91,1730,-25,-25,165,702,1731,-92,1341,1342,436,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,
净利润(万元),58100,54902,-3428,11197,-11684,-8369,-2852,13810,-1926,22,-19,12209,-6997,-5462,-3207,7171,12681,-1887,2537,5294,2026,
归属于母公司所有者的净利润(万元),59483,55786,-2849,13368,-10454,-7572,-2508,13914,-1786,90,3,12209,-6997,-5462,-3207,7171,12681,-1887,2537,5294,2026,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-1384,-884,-579,-2172,-1230,-798,-343,-104,-140,-67,-22,,,,,,,,,,,
基本每股收益,1.46,1.37,-0.07,0.33,-0.25,-0.18,-0.06,0.37,-0.05,0,0,0.34,-0.19,-0.15,-0.09,0.2,0.36,-0.11,0.16,0.61,0.25,
稀释每股收益,1.46,1.36,-0.07,0.33,-0.25,-0.18,-0.06,0.37,-0.05,0,0,0.34,-0.19,-0.15,-0.09,0.2,0.36,-0.11,0.16,0.61,0.25,
