报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),59837,33763,10476,83066,54601,31684,10289,80757,51851,29798,72484,23783,57568,47540,38919,
营业收入(万元),59837,33763,10476,83066,54601,31684,10289,80757,51851,29798,72484,23783,57568,47540,38919,
利息收入(万元),,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,
营业总成本(万元),54151,31123,10663,75672,49471,29499,10338,73705,48442,29053,68807,24086,55897,47266,38349,
营业成本(万元),36851,20899,6476,51711,33893,19641,6431,50127,32328,18608,46076,15473,37176,29785,23753,
利息支出(万元),,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,
研发费用(万元),2447,1436,509,3377,2433,1495,551,3351,2282,,2676,,2014,,,
退保金(万元),,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,
营业税金及附加(万元),536,319,109,782,536,309,103,903,610,364,741,137,460,272,322,
销售费用(万元),8018,4539,1860,10270,6599,4233,1682,10164,6769,4234,10204,3688,8594,8184,6091,
管理费用(万元),6167,3913,1677,8614,5509,3479,1559,8022,5734,5287,8293,4473,6405,7490,6757,
财务费用(万元),132,17,-6,254,256,168,80,648,561,392,888,475,1062,1124,983,
资产减值损失(万元),,,38,664,247,174,-69,490,160,168,-71,-160,187,411,443,
公允价值变动收益(万元),,,,,,,,,,,,,,,,
投资收益(万元),378,259,140,132,103,67,33,1348,1329,30,16,,50,,,
对联营企业和合营企业的投资收益(万元),0,-2,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,
营业利润(万元),6337,3130,-26,8467,6055,2883,239,8380,4910,775,3692,-303,1650,274,569,
营业外收入(万元),39,23,4,206,58,51,28,171,74,60,991,465,473,519,306,
营业外支出(万元),66,54,1,101,100,85,25,49,49,35,1,0,90,58,71,
非流动资产处置损失(万元),,,,,,,,,,35,,,,,,
利润总额(万元),6310,3099,-23,8571,6014,2849,243,8502,4935,799,4682,163,2033,735,804,
所得税费用(万元),1022,533,43,919,866,422,74,1072,703,264,640,-33,145,308,112,
未确认投资损失(万元),,,,,,,,,,,,,,,,
净利润(万元),5288,2567,-65,7652,5148,2427,169,7430,4232,535,4042,195,1888,427,692,
归属于母公司所有者的净利润(万元),5291,2570,-63,7651,5148,2427,170,7431,4234,537,4042,195,1888,427,692,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,
少数股东损益(万元),-3,-3,-2,1,0,-0,-1,-2,-2,-2,1,-0,,,,
基本每股收益,0.26,0.13,-0.01,0.83,0.45,0.28,0.02,0.87,0.5,0.06,0.48,0.02,0.22,0.05,0.08,
稀释每股收益,0.26,0.13,-0.01,0.83,0.45,0.28,0.02,0.87,0.5,0.06,0.48,0.02,0.22,0.05,0.08,
