报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),73275,46766,123022,93379,56422,155754,147473,124474,
营业收入(万元),73275,46766,123022,93379,56422,155754,147473,124474,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),67422,42506,112062,84798,52645,140448,141933,108894,
营业成本(万元),55039,35383,94777,72516,44296,124928,113341,96094,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),4841,3143,6855,5285,3289,6275,6607,5934,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),362,250,625,472,333,1001,904,347,
销售费用(万元),2146,1342,3312,2153,1459,3174,2936,2877,
管理费用(万元),4404,2731,6821,5010,3347,6883,15699,4966,
财务费用(万元),630,-344,-327,-638,-79,-2039,2393,-2031,
资产减值损失(万元),,,,,,226,53,707,
公允价值变动收益(万元),413,-175,127,-269,-216,-5,1371,-947,
投资收益(万元),254,80,-440,-205,-40,,332,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),6122,4077,11057,8045,3788,15360,7401,14596,
营业外收入(万元),6,4,405,264,103,233,24,83,
营业外支出(万元),2,1,6,44,0,36,12,6,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),6127,4080,11456,8266,3891,15558,7413,14673,
所得税费用(万元),445,294,1047,724,261,1681,2199,2434,
未确认投资损失(万元),,,,,,,,,
净利润(万元),5681,3785,10409,7542,3631,13877,5214,12239,
归属于母公司所有者的净利润(万元),5681,3785,10409,7542,3631,13877,5214,12239,
被合并方在合并前实现净利润(万元),,,,,,402,-3035,-869,
少数股东损益(万元),,,,,,,,,
基本每股收益,0.36,0.24,0.65,0.47,0.23,0.87,0.35,0.82,
稀释每股收益,,,,,,,,,
