报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),50526,30842,81381,58164,37116,83406,38743,84664,70037,42295,
营业收入(万元),50526,30842,81381,58164,37116,83406,38743,84664,70037,42295,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),44479,27570,70995,51392,33235,74632,36162,77326,63773,38123,
营业成本(万元),38259,23486,62271,45044,29198,65999,32177,67139,51792,31393,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),1718,1096,1625,1446,770,1636,845,2197,2025,1213,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),357,225,547,423,300,525,267,609,511,270,
销售费用(万元),725,431,1458,1004,671,1640,816,1927,2172,1495,
管理费用(万元),3180,2228,4740,2788,2090,4368,1985,4151,5850,2052,
财务费用(万元),149,105,353,327,206,714,399,769,959,938,
资产减值损失(万元),90,,,361,,,-327,534,463,762,
公允价值变动收益(万元),,,,,,,,,,,
投资收益(万元),91,60,164,124,96,83,2,-511,,,
对联营企业和合营企业的投资收益(万元),91,60,164,124,96,83,2,-511,,,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),6360,3637,10909,7416,3979,9594,3017,7345,6212,4176,
营业外收入(万元),32,27,78,94,61,118,38,66,294,189,
营业外支出(万元),1,1,156,11,1,26,10,75,1,13,
非流动资产处置损失(万元),,,,,,,,,,,
利润总额(万元),6392,3663,10831,7499,4038,9686,3045,7336,6505,4352,
所得税费用(万元),1231,731,1993,1363,816,1639,634,1394,1644,778,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),5161,2932,8838,6135,3222,8047,2412,5941,4861,3574,
归属于母公司所有者的净利润(万元),5161,2932,8838,6135,3222,8047,2412,5941,4861,3607,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,-33,
基本每股收益,0.86,0.49,1.47,1.02,0.54,1.34,0.4,1.02,0.95,0.71,
稀释每股收益,0.86,0.49,1.47,1.02,0.54,1.34,0.4,1.02,0.95,0.71,
