报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
营业总收入(万元),77508,41187,16044,83138,58836,38842,14089,82348,33413,28577,11060,17732,6860,7092,3290,
营业收入(万元),77508,41187,16044,83138,58836,38842,14089,82348,33413,28577,11060,17732,6860,7092,3290,
利息收入(万元),,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,
营业总成本(万元),68344,37697,15292,70675,50068,33757,13436,69183,29319,25253,9974,15344,6066,6957,4183,
营业成本(万元),52862,27605,10124,54770,39283,26825,9711,55319,22945,18476,7039,10785,4386,3935,2107,
利息支出(万元),,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,
研发费用(万元),2858,1681,849,3073,2254,1517,611,3103,,1046,,,,,,
退保金(万元),,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,
营业税金及附加(万元),250,208,151,219,203,172,76,215,73,136,51,26,22,11,10,
销售费用(万元),9014,5596,2800,8667,6051,3633,1792,6756,3008,3010,933,1648,674,1011,614,
管理费用(万元),4649,2766,1226,4183,2999,1768,829,2601,2516,2100,1727,2564,869,1637,1084,
财务费用(万元),-1289,-160,225,-647,-722,-159,388,321,55,215,154,84,64,307,162,
资产减值损失(万元),,,,411,,,,868,722,271,70,238,52,57,207,
公允价值变动收益(万元),-412,69,-47,,,21,,97,104,-97,-0,0,-17,,,
投资收益(万元),-221,-26,4,76,69,59,18,4,-39,0,-6,-66,-72,,,
对联营企业和合营企业的投资收益(万元),18,19,6,20,13,7,4,16,6,19,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,
营业利润(万元),8437,3521,731,13237,8848,5070,712,13571,4209,3226,1080,2323,706,135,-893,
营业外收入(万元),3,1,1,741,708,0,0,148,6,354,48,134,41,283,324,
营业外支出(万元),91,50,0,313,5,5,4,11,9,19,18,135,20,14,5,
非流动资产处置损失(万元),,,,,,,,,6,,,109,,,,
利润总额(万元),8349,3471,731,13665,9551,5065,708,13708,4205,3562,1110,2322,727,404,-575,
所得税费用(万元),1072,373,56,1859,1447,789,120,1927,676,579,184,317,97,19,-34,
未确认投资损失(万元),,,,,,,,,,,,,,,,
净利润(万元),7277,3099,675,11806,8105,4276,589,11781,3529,2983,926,2005,630,385,-540,
归属于母公司所有者的净利润(万元),7277,3099,675,11806,8105,4276,589,11781,3529,2973,926,2004,631,387,-540,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,10,-0,1,-1,-2,,
基本每股收益,0.99,0.44,0.11,1.97,1.35,0.71,0.1,1.96,0.59,0.5,0.92,1.99,0.63,0.38,-0.57,
稀释每股收益,0.99,0.44,0.11,1.97,1.35,0.71,0.1,1.96,0.59,0.5,0.92,1.99,0.63,0.38,-0.57,
