报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),93945,59059,92192,55116,44221,48576,28084,23972,
营业收入(万元),93945,59059,92192,55116,44221,48576,28084,23972,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),67233,41463,68452,41286,33689,38813,25748,21451,
营业成本(万元),56975,34592,57005,33668,26716,29433,17818,15407,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),920,664,995,729,,,,,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),278,187,253,187,147,135,101,745,
销售费用(万元),3479,2295,3538,2475,1840,2274,1219,1084,
管理费用(万元),5529,3702,6482,4189,3392,5254,5801,3676,
财务费用(万元),53,23,179,38,-33,-19,19,38,
资产减值损失(万元),,,,,1627,1737,789,500,
公允价值变动收益(万元),,,,,,,,,
投资收益(万元),,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),24081,15797,20608,12058,10531,9785,2337,2523,
营业外收入(万元),,,4,,22,12,3,36,
营业外支出(万元),0,0,433,401,401,12,89,22,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),24081,15797,20179,11656,10153,9785,2251,2536,
所得税费用(万元),3669,2395,3097,1793,1560,1562,651,344,
未确认投资损失(万元),,,,,,,,,
净利润(万元),20412,13402,17081,9864,8592,8223,1600,2192,
归属于母公司所有者的净利润(万元),20412,13402,17081,9864,8592,8223,1600,2192,
被合并方在合并前实现净利润(万元),,,,,,,,,
少数股东损益(万元),,,,,,,,,
基本每股收益,1.81,1.19,1.51,0.87,0.76,0.78,0.2,,
稀释每股收益,1.81,1.19,1.51,0.87,0.76,0.78,0.2,,
