报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),125291,79527,35072,105506,77946,50133,22841,78484,58070,41827,17638,66433,51839,122631,97573,
营业收入(万元),125291,79527,35072,105506,77946,50133,22841,78484,58070,41827,17638,66433,51839,122631,97573,
利息收入(万元),,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,
营业总成本(万元),93190,59765,28751,83829,57519,36277,18044,60945,43946,26995,12160,48190,40714,104847,81254,
营业成本(万元),57478,36938,17331,46861,32154,19597,10220,32631,24394,14689,6723,25124,19056,83829,68802,
利息支出(万元),,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,
研发费用(万元),641,459,210,1315,576,422,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,
营业税金及附加(万元),2619,1669,720,2779,1865,1284,534,1937,1394,890,400,1546,964,581,392,
销售费用(万元),,,,,,,,,,,,,,,,
管理费用(万元),8548,5519,2639,11290,6982,4173,2218,10736,6986,4351,1930,9616,8637,8910,5180,
财务费用(万元),23904,15180,7021,20852,15394,10340,4886,15294,10785,6865,2956,12011,10381,10445,6896,
资产减值损失(万元),,,,,,,185,348,387,199,152,-106,1676,1082,-17,
公允价值变动收益(万元),,,,,,,,,,,,,,,,
投资收益(万元),86,79,39,-0,-0,,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),1,1,0,,-0,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,
营业利润(万元),36861,24554,10933,30611,27349,18593,6822,25492,19955,18340,7239,18243,11125,17784,16319,
营业外收入(万元),179,127,100,391,66,12,4,179,56,21,16,7113,4056,1627,2305,
营业外支出(万元),86,30,33,157,111,110,9,102,31,25,11,20,131,28,90,
非流动资产处置损失(万元),,,,,,,,,0,0,,,,1,0,
利润总额(万元),36954,24651,11001,30845,27305,18495,6818,25569,19979,18336,7245,25336,15050,19384,18534,
所得税费用(万元),4503,2822,1459,3565,3179,1684,1102,4921,4215,3499,1462,2236,-49,5179,3444,
未确认投资损失(万元),,,,,,,,,,,,,,,,
净利润(万元),32451,21829,9541,27280,24125,16811,5716,20648,15764,14838,5783,23100,15099,14204,15090,
归属于母公司所有者的净利润(万元),32307,21716,9536,27277,24122,16809,5716,20648,15764,14838,5783,23100,15099,14204,15090,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,
少数股东损益(万元),144,112,5,3,3,2,,,,,,,,,,
基本每股收益,0.28,0.19,0.08,0.25,0.22,0.16,0.05,0.2,0.15,0.14,0.06,0.22,0.14,0.16,0.22,
稀释每股收益,0.28,0.19,0.08,0.25,0.22,0.16,0.05,0.2,0.15,0.14,0.06,0.22,0.14,0.16,0.22,
