报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),39277,24882,12619,63734,47368,31394,14522,57384,43044,28943,13247,47143,32957,22005,10203,44793,32568,21201,41084,41415,43058,36836,
营业收入(万元),39277,24882,12619,63734,47368,31394,14522,57384,43044,28943,13247,47143,32957,22005,10203,44793,32568,21201,41084,41415,43058,36836,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),38096,24602,12718,59439,44212,29187,13608,52191,39252,26433,12223,42222,29702,19582,9218,40341,29440,19110,38898,37900,38513,32922,
营业成本(万元),32147,20533,10574,50440,37708,24804,11343,44782,33961,22832,10398,36361,25530,16930,7856,35054,25641,16555,33339,33010,33767,29085,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),1867,1243,677,2688,1899,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),81,56,44,139,89,64,28,123,60,32,14,137,98,74,31,155,99,61,114,140,146,112,
销售费用(万元),1556,1046,547,2420,1748,1141,553,2054,1449,938,485,1628,1131,754,382,1434,1072,747,1574,1269,1123,849,
管理费用(万元),2360,1649,911,3467,2594,2979,1633,4971,3703,2581,1355,3836,2746,1673,886,3331,2371,1532,3536,3263,3357,2756,
财务费用(万元),84,75,68,167,110,80,67,185,127,58,18,146,154,109,62,321,263,192,302,199,124,70,
资产减值损失(万元),,,-103,119,64,118,-17,76,-48,-9,-48,115,43,42,2,47,-5,24,33,19,-5,51,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),,,,57,57,34,26,145,118,97,51,,,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),1158,322,-53,4874,3695,2709,955,5430,3950,2633,1075,4921,3255,2423,985,4453,3128,2091,2186,3515,4545,3914,
营业外收入(万元),297,239,239,64,64,29,306,56,79,7,19,138,107,98,10,101,17,13,269,769,313,45,
营业外支出(万元),2,1,1,33,17,7,5,58,31,25,19,29,6,5,4,24,3,2,11,12,44,7,
非流动资产处置损失(万元),,,,,,,,,13,12,8,25,2,,0,18,1,1,9,2,35,3,
利润总额(万元),1452,560,185,4905,3741,2732,1256,5428,3998,2615,1075,5030,3356,2517,992,4530,3141,2102,2445,4272,4815,3951,
所得税费用(万元),282,110,46,613,762,549,256,938,799,530,228,884,631,452,180,707,529,352,333,614,728,646,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),1170,450,139,4293,2979,2183,1000,4490,3199,2085,847,4146,2725,2065,812,3823,2612,1750,2112,3659,4086,3305,
归属于母公司所有者的净利润(万元),1170,450,139,4293,2979,2183,1000,4490,3199,2085,847,4146,2725,2065,812,3823,2612,1750,2112,3659,3965,3109,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,122,196,
基本每股收益,0.08,0.03,0.01,0.43,0.3,0.22,0.1,0.45,0.32,0.21,0.08,0.5,0.35,0.28,0.11,0.51,0.35,0.23,0.28,0.49,0.53,6.22,
稀释每股收益,0.08,0.03,0.01,0.43,0.3,0.22,0.1,0.45,0.32,0.21,0.08,0.5,0.35,,0.11,0.51,0.35,0.23,0.28,0.49,0.53,6.22,
