报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),439725,273070,112567,548357,401546,257104,102565,525128,409526,74791,259449,108438,193562,232234,205835,
营业收入(万元),439725,273070,112567,548357,401546,257104,102565,525128,409526,74791,259449,108438,193562,232234,205835,
利息收入(万元),,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,
营业总成本(万元),417355,261419,109800,529243,387875,246610,100684,510657,394949,71289,244212,98340,185917,225178,203727,
营业成本(万元),390233,245497,103263,499320,366761,232766,94619,482836,371230,67098,228113,91562,173681,209677,190452,
利息支出(万元),,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,
研发费用(万元),14336,9090,3639,18287,12985,8536,3605,16789,13082,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,
营业税金及附加(万元),423,266,65,1130,346,272,112,683,757,96,347,73,80,76,240,
销售费用(万元),6938,3826,1689,6083,3936,2643,1099,4700,4615,754,3845,1439,2269,2019,1473,
管理费用(万元),4168,1796,721,3311,2914,1694,808,3470,2743,3056,11006,4639,8544,8872,7939,
财务费用(万元),1257,944,423,1113,933,699,442,1624,2081,425,786,496,2035,3130,3492,
资产减值损失(万元),,,,,,,,556,442,-140,115,131,-693,1404,131,
公允价值变动收益(万元),120,-231,-279,,,3,,,135,,315,-80,-330,-207,87,
投资收益(万元),,,,5,,5,5,14,-135,,-731,-52,443,175,181,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,
营业利润(万元),23620,11775,2503,21283,15547,12608,2112,14680,14922,3502,14820,9966,7758,7024,2376,
营业外收入(万元),119,92,1,984,984,18,17,10,352,50,353,144,159,558,250,
营业外支出(万元),106,70,70,8,7,,,66,16,9,318,302,274,289,296,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,
利润总额(万元),23633,11797,2434,22259,16524,12626,2129,14624,15258,3543,14854,9808,7643,7293,2330,
所得税费用(万元),3382,1763,355,3130,2460,1804,326,2201,2383,564,2280,1514,1117,975,-2,
未确认投资损失(万元),,,,,,,,,,,,,,,,
净利润(万元),20251,10034,2079,19129,14064,10822,1804,12423,12874,2979,12574,8295,6526,6317,2333,
归属于母公司所有者的净利润(万元),20251,10034,2079,19129,14064,10822,1804,12400,12797,2955,12549,8280,6483,6309,2309,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,24,77,24,25,15,43,9,23,
基本每股收益,0.64,0.34,,0.65,0.48,0.37,,0.42,0.43,0.18,0.84,0.59,0.54,,,
稀释每股收益,0.64,0.34,,0.65,0.48,0.37,,0.42,0.43,0.18,0.84,0.59,0.54,,,
