报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),575701,395065,237151,1017585,620073,437882,254837,899871,623215,428186,231924,855087,578553,743893,349339,620891,503523,291336,
营业收入(万元),575701,395065,237151,1017585,620073,437882,254837,899871,623215,428186,231924,855087,578553,743893,349339,620891,503523,291336,
利息收入(万元),,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,
营业总成本(万元),685001,463921,252401,1047109,604821,419212,237619,845061,585122,393685,213661,786194,534526,662405,310894,557574,451348,257479,
营业成本(万元),236274,154556,98004,352834,234398,162175,101009,337091,218108,149533,87856,307130,200554,258145,127289,216006,180376,103328,
利息支出(万元),,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),2426,1533,887,7801,5090,3537,1913,8301,6183,4256,2692,8796,6160,9046,5042,7385,4589,2592,
销售费用(万元),393474,272825,134398,603244,315163,214308,120817,435487,309217,205182,110788,404527,281710,339376,159158,280645,230558,130658,
管理费用(万元),38041,23151,13584,50418,33859,22650,11363,38929,29501,18649,8927,39166,26415,33402,16009,25753,21937,15419,
财务费用(万元),14786,11856,3419,5247,3356,1400,904,1658,1266,522,461,163,-186,-3423,-40,6210,4682,1884,
资产减值损失(万元),,,3059,27450,12954,15143,1614,23596,20846,15544,2937,26412,19873,25858,3435,21575,9206,3598,
公允价值变动收益(万元),,,,948,,,,,,,,,,,,,,,
投资收益(万元),7041,6781,8796,903,4810,5153,705,6068,297,150,-155,-100,10,,,,,,
对联营企业和合营企业的投资收益(万元),,7787,8796,2183,-6398,6366,,1843,282,150,,-110,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,
营业利润(万元),-112324,-71812,147,-15168,31520,32324,24147,73749,48830,40510,19130,68793,44037,81488,38445,63318,52176,33857,
营业外收入(万元),635,572,71,478,349,349,76,401,217,134,86,8247,5138,6504,313,5230,3175,1343,
营业外支出(万元),1946,585,131,1332,712,597,600,1127,288,446,493,168,138,76,40,110,12,75,
非流动资产处置损失(万元),,,,,,,,,38,21,,104,95,26,8,82,8,13,
利润总额(万元),-113635,-71825,87,-16022,31157,32076,23623,73023,48759,40198,18723,76872,49037,87917,38719,68438,55339,35125,
所得税费用(万元),-24990,-15356,1179,3897,7766,7930,5967,19279,12689,10102,4768,19645,12744,22077,9734,17317,14002,9169,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,
净利润(万元),-88645,-56469,-1092,-19918,23392,24147,17655,53744,36070,30097,13955,57227,36293,65840,28984,51121,41337,25956,
归属于母公司所有者的净利润(万元),-82466,-49813,975,-15951,23925,23583,17413,49853,33973,28175,13026,53196,32510,61525,27635,50345,40730,25991,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-6179,-6655,-2067,-3967,-533,564,242,3891,2097,1922,930,4030,3783,4315,1349,776,608,-35,
基本每股收益,-1.51,-0.91,0.02,-0.29,0.44,0.43,0.32,0.98,0.62,0.57,0.26,1.08,0.66,1.23,0.55,1.27,1.14,0.75,
稀释每股收益,-1.51,-0.91,0.02,-0.29,0.44,0.43,0.32,0.98,0.62,0.57,0.26,1.08,0.66,1.23,0.55,1.27,1.14,0.75,
