报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),54359,38268,58163,43751,28701,57541,54440,59042,
营业收入(万元),54359,38268,58163,43751,28701,57541,54440,59042,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),38931,26431,41386,30473,20389,41650,47847,48145,
营业成本(万元),26809,19139,28327,22151,14873,30462,28026,28539,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),3096,2151,3510,1734,1230,2465,2353,1790,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),472,307,516,407,278,596,592,654,
销售费用(万元),2517,1997,3024,1849,1369,2835,2227,3111,
管理费用(万元),5509,3242,6370,4970,2718,5911,13200,15709,
财务费用(万元),530,-405,-361,-637,-80,-548,1627,-1378,
资产减值损失(万元),,,,,,-73,-177,-281,
公允价值变动收益(万元),28,27,,89,34,,,107,
投资收益(万元),169,37,59,48,41,-240,203,174,
对联营企业和合营企业的投资收益(万元),,,,,,,,,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),16363,12297,17071,13849,8389,16466,7005,11179,
营业外收入(万元),64,63,3720,,,,9,229,
营业外支出(万元),223,212,160,167,,48,12,80,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),16204,12148,20631,13682,8389,16418,7002,11328,
所得税费用(万元),2183,1842,2018,1694,1185,2735,2555,3145,
未确认投资损失(万元),,,,,,,,,
净利润(万元),14021,10306,18613,11987,7204,13683,4448,8184,
归属于母公司所有者的净利润(万元),14021,10306,18613,11987,7204,13683,4472,8670,
被合并方在合并前实现净利润(万元),,,,,,,,,
少数股东损益(万元),,,,,,,-24,-487,
基本每股收益,0.39,0.29,0.52,0.33,0.2,0.38,0.12,,
稀释每股收益,0.39,0.29,0.52,0.33,0.2,0.38,0.12,,
