报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),1237946,820557,390593,1375336,1027981,680839,323628,1117380,834492,903172,801311,783572,
营业收入(万元),1237946,820557,390593,1375336,1027981,680839,323628,1117380,834492,903172,801311,783572,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),839213,564212,283278,986927,725470,480806,239711,852332,627257,758779,728626,685557,
营业成本(万元),430651,285280,133581,459740,340258,220262,102271,368401,271465,319525,302770,286566,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),108424,70538,34386,126716,96891,63988,,,75407,,,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),15502,10761,5876,19224,14604,10363,4963,14786,11170,13082,7909,7578,
销售费用(万元),260869,170560,80128,320223,234210,152085,67570,272686,195836,240093,217583,208536,
管理费用(万元),58885,41225,16028,71511,53442,35494,46683,166544,49776,178303,175743,168559,
财务费用(万元),-35117,-14150,12389,-15580,-18094,-1385,17152,26737,20594,-2362,-10955,9737,
资产减值损失(万元),,,955,5094,4157,,1072,3178,3008,10138,35575,4582,
公允价值变动收益(万元),,,,11264,11264,11264,11264,-11141,-9633,-464,,-96,
投资收益(万元),,,,-11265,-11265,-11265,-11265,924,894,11384,23784,22834,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),420818,273228,116446,427816,332359,218313,95590,287959,225879,154894,96140,120753,
营业外收入(万元),2013,1169,635,2659,2013,403,280,6987,3474,32753,23780,26175,
营业外支出(万元),1147,1010,761,6642,1867,1288,492,1809,1021,2492,10970,1321,
非流动资产处置损失(万元),,,,,,,,,,,,,
利润总额(万元),421685,273387,116320,423833,332506,217428,95378,293137,228332,185156,108950,145607,
所得税费用(万元),54320,36391,15725,51258,42301,29852,14460,33018,27823,23937,14900,6128,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),367365,236996,100595,372574,290205,187576,80918,260119,200509,161218,94050,139479,
归属于母公司所有者的净利润(万元),367118,236909,100570,371924,289664,187169,80719,258915,199395,160046,90988,135967,
被合并方在合并前实现净利润(万元),,,,,,,,,,-23271,-63191,-33204,
少数股东损益(万元),247,87,25,651,541,407,199,1204,1113,1173,3062,3512,
基本每股收益,3.02,1.95,0.83,3.34,2.65,1.71,0.74,2.37,1.82,1.61,0.98,1.47,
稀释每股收益,3.02,1.95,0.83,3.34,2.65,1.71,0.74,2.37,1.82,1.61,0.98,1.47,
