报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),98786,65616,118262,71054,42971,85197,58821,40520,40772,38954,
营业收入(万元),98786,65616,118262,71054,42971,85197,58821,40520,40772,38954,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),88590,57749,103923,65432,41083,75838,52463,35515,36824,35303,
营业成本(万元),55909,36980,68482,42168,26383,50556,31907,22860,25573,24405,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),11848,7230,12344,9126,5606,9888,6624,,,,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),952,659,895,486,313,589,582,333,348,201,
销售费用(万元),12339,8052,12754,7848,4541,8243,7904,5101,4016,4790,
管理费用(万元),7527,4594,7375,5628,3460,5620,4534,7458,6599,4520,
财务费用(万元),16,235,376,176,224,316,345,295,393,123,
资产减值损失(万元),,,1697,,556,626,568,-532,-104,1264,
公允价值变动收益(万元),,,,,,,,,,,
投资收益(万元),-155,-99,5,5,5,78,75,3,-59,,
对联营企业和合营企业的投资收益(万元),-189,-106,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),12956,9405,16247,6255,2736,13139,6411,5009,3889,3651,
营业外收入(万元),57,63,159,150,183,101,1408,1325,1192,1329,
营业外支出(万元),22,20,40,7,7,104,3,74,578,807,
非流动资产处置损失(万元),,,,,,,,8,1,1,
利润总额(万元),12991,9448,16366,6398,2912,13136,7816,6260,4503,4174,
所得税费用(万元),1744,1282,692,578,288,1112,454,755,574,404,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),11248,8166,15674,5820,2624,12024,7362,5505,3928,3770,
归属于母公司所有者的净利润(万元),11016,7997,15242,5850,2634,11626,6908,5542,3978,3777,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),232,169,432,-30,-11,398,454,-37,-49,-6,
基本每股收益,1.7,1.23,2.35,0.9,0.41,1.9,1.15,0.92,0.66,0.63,
稀释每股收益,1.7,1.23,2.35,0.9,0.41,1.9,1.15,0.92,0.66,0.63,
