报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),130885,83618,43452,136356,98375,65069,27098,94937,73683,49077,21212,63347,43648,54311,10727,46846,49949,42265,
营业收入(万元),130885,83618,43452,136356,98375,65069,27098,94937,73683,49077,21212,63347,43648,54311,10727,46846,49949,42265,
利息收入(万元),,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,
营业总成本(万元),90070,56055,27352,109044,74036,48295,21487,72772,51263,32640,14256,47970,33627,44248,9621,41714,46520,33734,
营业成本(万元),66646,40219,20812,72662,50922,33149,14976,48005,31975,19781,8669,24725,16122,26123,6281,25751,27785,23562,
利息支出(万元),,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,
研发费用(万元),13737,9321,3290,19414,12561,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),1567,1122,649,2135,1622,1135,470,1960,1520,1017,393,1470,430,732,125,618,527,548,
销售费用(万元),2020,1404,573,2944,1676,1134,424,1407,825,511,247,1079,773,727,171,562,748,646,
管理费用(万元),5507,3549,1163,6516,3314,8831,3376,17118,12369,7936,3497,14788,13790,12511,2098,10711,11799,5385,
财务费用(万元),594,439,-205,302,272,72,53,2080,1035,882,463,1794,1223,2795,1646,3138,4722,4235,
资产减值损失(万元),,,1069,5071,3669,3975,2188,2201,3538,2513,987,4115,1288,1360,-700,934,940,-643,
公允价值变动收益(万元),293,686,,,,,,,,,,,,,,,,,
投资收益(万元),1777,651,771,2818,2196,1650,836,380,-297,-193,-37,206,274,169,-11,-359,3163,2,
对联营企业和合营企业的投资收益(万元),216,99,86,-15,-57,112,73,-390,,-232,-57,167,,113,,-429,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,
营业利润(万元),51850,36025,18615,42642,35589,24518,9896,25761,22331,16451,7350,15583,10296,10233,1096,4773,6592,8534,
营业外收入(万元),80,73,45,603,162,145,39,707,1063,726,23,7413,2234,11371,495,2417,1942,1653,
营业外支出(万元),418,393,1,980,55,5,5,176,11,10,0,1890,900,1576,9,707,28,81,
非流动资产处置损失(万元),,,,,,,,,11,10,,1868,878,1566,,706,,,
利润总额(万元),51512,35705,18659,42265,35696,24658,9930,26292,23383,17166,7372,21106,11630,20027,1581,6483,8505,10105,
所得税费用(万元),7093,4692,2812,4607,4634,3230,1265,2572,2610,1901,889,1171,632,2388,182,1381,1125,1763,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,
净利润(万元),44420,31013,15847,37658,31062,21428,8665,23720,20773,15266,6483,19934,10998,17639,1399,5102,7380,8341,
归属于母公司所有者的净利润(万元),44420,31013,15847,37658,31062,21428,8665,23720,20773,15266,6483,19934,10998,17639,1399,5102,7452,8341,
被合并方在合并前实现净利润(万元),,,,,,,,16939,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,-72,,
基本每股收益,0.86,0.6,0.43,1.02,0.84,0.58,0.24,0.77,0.73,0.55,0.23,0.72,0.4,0.64,0.05,0.18,0.27,0.3,
稀释每股收益,0.86,0.6,0.43,1.02,0.84,0.58,0.24,0.77,0.73,0.55,0.23,0.72,0.4,0.64,0.05,0.18,0.27,0.3,
