报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),103276,64852,30933,119169,87219,58705,122267,52623,93202,67014,59134,
营业收入(万元),103276,64852,30933,119169,87219,58705,122267,52623,93202,67014,59134,
利息收入(万元),,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,
营业总成本(万元),86653,53951,25990,101144,73167,47779,101930,46407,83421,61923,54708,
营业成本(万元),66289,41112,19430,74702,53405,35133,76184,34510,65262,48070,42306,
利息支出(万元),,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,
研发费用(万元),7112,4549,2262,9699,7475,4747,8661,3775,5244,4025,4177,
退保金(万元),,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,
营业税金及附加(万元),1529,950,491,1562,1092,743,1484,685,1123,953,368,
销售费用(万元),844,496,215,1025,761,530,1107,578,876,763,607,
管理费用(万元),3968,2298,1135,5163,3982,2543,5218,2552,4893,3878,4109,
财务费用(万元),6911,4545,2457,8993,6452,4082,5997,2134,3579,2015,2476,
资产减值损失(万元),,,,,,,3279,2174,2443,2219,665,
公允价值变动收益(万元),,,,,19,19,-19,,,,,
投资收益(万元),,,,10,-11,-11,40,51,8,1,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,
营业利润(万元),16379,9605,4234,17390,13024,10000,23648,7614,12287,5461,4491,
营业外收入(万元),20,15,2,329,312,54,146,52,357,2170,1857,
营业外支出(万元),225,22,0,124,45,19,95,27,134,96,204,
非流动资产处置损失(万元),,,,,,,,,,,,
利润总额(万元),16173,9597,4235,17595,13290,10035,23699,7640,12511,7536,6144,
所得税费用(万元),1812,993,422,2474,677,763,2801,996,1681,961,744,
未确认投资损失(万元),,,,,,,,,,,,
净利润(万元),14361,8604,3813,15120,12613,9273,20898,6644,10830,6574,5401,
归属于母公司所有者的净利润(万元),13086,7621,3248,12819,10959,7986,18076,5601,10561,6574,3824,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,
少数股东损益(万元),1275,983,565,2302,1654,1286,2822,1042,269,-0,1577,
基本每股收益,0.36,0.21,0.09,0.36,0.3,0.22,0.5,0.16,0.29,0.18,0.12,
稀释每股收益,0.36,0.21,0.09,0.36,0.3,0.22,0.5,0.16,0.29,0.18,0.12,
