报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),65447,42509,86757,64283,86434,89365,86373,
营业收入(万元),65447,42509,86757,64283,86434,89365,86373,
利息收入(万元),,,,,,,,
已赚保费(万元),,,,,,,,
手续费及佣金收入(万元),,,,,,,,
房地产销售收入(万元),,,,,,,,
其他业务收入(万元),,,,,,,,
营业总成本(万元),57424,37601,76976,56505,79712,79986,78266,
营业成本(万元),49837,32343,66602,49130,65616,69267,67212,
利息支出(万元),,,,,,,,
手续费及佣金支出(万元),,,,,,,,
房地产销售成本(万元),,,,,,,,
研发费用(万元),2105,1335,3020,2019,,,,
退保金(万元),,,,,,,,
赔付支出净额(万元),,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,
保单红利支出(万元),,,,,,,,
分保费用(万元),,,,,,,,
其他业务成本(万元),,,,,,,,
营业税金及附加(万元),519,426,366,185,380,380,214,
销售费用(万元),2846,1859,3891,3044,5639,3435,3089,
管理费用(万元),1937,1256,2658,1915,5917,5707,6732,
财务费用(万元),179,382,231,212,1729,101,450,
资产减值损失(万元),,,208,,431,1096,568,
公允价值变动收益(万元),-20,-26,,-34,,,223,
投资收益(万元),-51,-14,-51,0,7,31,204,
对联营企业和合营企业的投资收益(万元),,,,,,,,
汇兑收益(万元),,,,,,,,
期货损益(万元),,,,,,,,
托管收益(万元),,,,,,,,
补贴收入(万元),,,,,,,,
其他业务利润(万元),,,,,,,,
营业利润(万元),7537,4710,10020,7636,7132,9410,8534,
营业外收入(万元),251,117,209,79,7,37,141,
营业外支出(万元),16,16,26,25,7,5,24,
非流动资产处置损失(万元),,,,,,,,
利润总额(万元),7772,4812,10203,7691,7132,9442,8651,
所得税费用(万元),885,421,1300,1155,753,1188,1410,
未确认投资损失(万元),,,,,,,,
净利润(万元),6887,4390,8904,6536,6379,8253,7242,
归属于母公司所有者的净利润(万元),6887,4390,8904,6536,6379,8253,7267,
被合并方在合并前实现净利润(万元),,,,,,,,
少数股东损益(万元),,,,,,,-25,
基本每股收益,0.57,0.37,0.74,0.54,0.53,0.69,0.63,
稀释每股收益,0.57,0.37,0.74,0.54,0.53,0.69,0.63,
