报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),51821,34150,16543,36488,25347,15799,8217,16541,7098,7696,2720,3822,1040,1016,
营业收入(万元),51821,34150,16543,36488,25347,15799,8217,16541,7098,7696,2720,3822,1040,1016,
利息收入(万元),,,,,,0,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),28047,19015,9366,20583,13758,8694,4096,10062,4516,4668,1738,2705,994,1133,
营业成本(万元),22600,15115,7469,13841,9410,5797,2998,5643,2409,2766,1002,1653,429,527,
利息支出(万元),,,,,,0,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),2241,1391,412,1820,1192,832,211,958,,573,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),539,352,274,509,368,198,136,256,74,52,5,48,3,15,
销售费用(万元),2290,1464,660,2325,1578,988,371,1309,500,672,202,274,160,100,
管理费用(万元),1497,1016,427,1356,996,677,242,1743,1469,508,518,721,416,515,
财务费用(万元),-1120,-323,-64,203,215,93,42,-41,-30,19,-9,-22,-22,-36,
资产减值损失(万元),,,188,530,,110,97,193,93,78,20,31,6,13,
公允价值变动收益(万元),136,,,,,0,,,,,,,,,
投资收益(万元),,,,23,23,23,,24,4,29,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,0,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),26516,17425,8759,19563,13704,8973,5030,7631,2873,3059,982,1116,46,-117,
营业外收入(万元),,,,,3,3,0,319,347,436,181,101,128,110,
营业外支出(万元),11,0,,0,0,0,,1,1,0,,3,0,0,
非流动资产处置损失(万元),,,,,,,,,,,,3,,,
利润总额(万元),26505,17424,8759,19563,13707,8976,5030,7949,3219,3495,1162,1214,174,-8,
所得税费用(万元),3981,2624,1273,2772,2065,1352,740,1236,537,474,293,151,20,4,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),22524,14801,7486,16791,11642,7624,4290,6713,2682,3020,870,1063,154,-11,
归属于母公司所有者的净利润(万元),22524,14801,7486,16791,11642,7624,4290,6713,2682,3020,870,1063,154,-11,
被合并方在合并前实现净利润(万元),,,,,,0,,,,,,,,,
少数股东损益(万元),,,,,,0,,,,,,,,,
基本每股收益,3.96,2.83,1.51,3.39,2.35,1.54,0.87,1.36,0.71,0.66,0.57,0.7,0.1,-0.01,
稀释每股收益,3.96,2.83,,3.39,2.35,1.54,,1.36,0.71,0.66,0.57,0.7,0.1,-0.01,
