报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),269836,170101,359044,248503,170672,341633,169886,322947,222897,177528,
营业收入(万元),269836,170101,359044,248503,170672,341633,169886,322947,222897,177528,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),253139,159885,339271,235768,161876,321047,159994,300004,204557,168035,
营业成本(万元),220345,139635,297922,207174,143386,284660,141325,262277,177310,146041,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),13507,8362,15334,9584,6059,11377,5254,13290,8810,8220,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),582,303,881,483,424,609,205,251,121,0,
销售费用(万元),7277,4575,9436,6164,4275,8729,4324,8447,7407,6034,
管理费用(万元),3835,2288,5307,5059,2391,5724,2642,4802,4242,3309,
财务费用(万元),7593,4721,10391,7305,5341,9949,5236,9427,5424,4055,
资产减值损失(万元),,,,,,,1007,1511,1244,376,
公允价值变动收益(万元),,,,,,,,,,27,
投资收益(万元),247,256,70,14,7,-332,-332,299,644,-97,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),18497,10459,20830,12287,8369,18655,9629,23300,18998,9498,
营业外收入(万元),136,134,88,77,63,282,186,238,435,417,
营业外支出(万元),38,1,204,19,19,54,39,14,45,11,
非流动资产处置损失(万元),,,,,,,,,,,
利润总额(万元),18595,10592,20714,12345,8413,18883,9776,23524,19388,9904,
所得税费用(万元),3318,1938,2362,1772,2063,2113,2310,2855,2660,1011,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),15277,8653,18353,10574,6350,16770,7466,20669,16728,8892,
归属于母公司所有者的净利润(万元),15277,8653,18353,10574,6350,16770,7466,20669,16728,8892,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,
基本每股收益,0.19,0.12,0.25,0.14,0.08,0.24,0.11,0.34,0.28,0.15,
稀释每股收益,0.19,0.12,0.25,0.14,0.08,0.24,0.11,0.34,0.28,0.15,
