报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),68565,41374,104369,72290,56636,25851,115943,89065,60111,34702,32273,
营业收入(万元),68565,41374,104369,72290,56636,25851,115943,89065,60111,34702,32273,
利息收入(万元),,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,
营业总成本(万元),53694,31357,78286,55312,43895,21789,89783,74285,50744,30736,28486,
营业成本(万元),42123,25175,61405,41423,34233,16591,70757,60716,43574,26118,24593,
利息支出(万元),,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,
研发费用(万元),2495,1310,4117,3649,2646,1186,4731,,,,,
退保金(万元),,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,
营业税金及附加(万元),182,133,241,145,104,86,347,247,388,1076,1008,
销售费用(万元),4149,2110,4888,4274,2897,1169,4289,3866,2925,1161,1000,
管理费用(万元),3893,2042,6396,4958,3456,1625,5864,7622,2929,2030,1589,
财务费用(万元),852,587,1239,861,558,321,936,592,229,282,342,
资产减值损失(万元),,,,,,811,2859,1242,699,69,-46,
公允价值变动收益(万元),,,,,,,,,,,,
投资收益(万元),,,-247,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,
营业利润(万元),11414,9116,24018,15006,11000,4063,26459,14782,9367,3966,3787,
营业外收入(万元),21,6,12,0,0,0,1,96,286,80,65,
营业外支出(万元),,,0,0,0,0,0,20,248,0,17,
非流动资产处置损失(万元),,,,,,,,,,,,
利润总额(万元),11435,9122,24030,15006,11000,4063,26460,14858,9405,4046,3836,
所得税费用(万元),2220,1778,3501,2467,1782,660,3530,2278,1650,727,729,
未确认投资损失(万元),,,,,,,,,,,,
净利润(万元),9215,7344,20529,12540,9218,3403,22930,12580,7755,3319,3107,
归属于母公司所有者的净利润(万元),9215,7344,20529,12540,9218,3403,22930,12580,7755,3319,3107,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,
基本每股收益,1.67,1.38,3.88,2.37,1.75,0.65,4.51,2.48,1.61,1.24,1.61,
稀释每股收益,1.67,1.38,3.88,2.37,1.75,0.65,4.51,2.48,1.61,1.24,1.61,
