报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),152528,98427,49427,189254,137552,87404,42384,175048,130818,86045,39790,118311,85273,54234,99802,88471,71328,
营业收入(万元),152528,98427,49427,189254,137498,87404,42384,175048,130522,86045,39790,118311,85196,54234,99802,88471,71328,
利息收入(万元),,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,54,,,,296,,,,77,,,,,
营业总成本(万元),137893,90059,45648,169823,123204,79520,40148,158754,117558,78706,37350,108325,77773,48363,92065,84517,70255,
营业成本(万元),115274,74503,37945,142050,103752,66288,32331,131430,98560,66541,31617,89330,64846,40343,73483,72657,60703,
利息支出(万元),,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,
研发费用(万元),5173,3251,1291,6256,4587,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,
营业税金及附加(万元),1197,751,348,1881,1424,1059,622,984,604,429,147,519,142,103,166,158,173,
销售费用(万元),9341,6397,3046,11964,8637,5285,2583,10666,7719,5152,2478,9224,5892,3670,8633,4649,2574,
管理费用(万元),6350,4021,1705,7892,6075,6457,2748,11794,8386,5126,2457,8919,6201,4016,9069,5947,5073,
财务费用(万元),556,1136,1393,-834,-1792,277,1970,3048,2107,1307,457,51,397,199,478,1214,1482,
资产减值损失(万元),,,-81,614,519,154,-107,833,181,152,194,282,296,31,235,-109,249,
公允价值变动收益(万元),,,,-41,253,,,,,,,,,,,,,
投资收益(万元),,,43,657,248,280,132,348,75,6,4,36,31,20,100,19,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,
营业利润(万元),14512,8304,3870,20351,15414,8499,2633,16845,13413,7423,2444,10022,7531,5890,7838,3974,1073,
营业外收入(万元),13,10,7,698,187,58,38,24,75,6,59,129,87,78,107,61,35,
营业外支出(万元),97,88,28,388,356,164,26,583,313,211,56,338,259,252,533,302,34,
非流动资产处置损失(万元),,,,,,,,,284,194,,282,215,210,374,133,6,
利润总额(万元),14428,8226,3849,20661,15245,8393,2645,16286,13176,7218,2447,9814,7359,5716,7412,3733,1074,
所得税费用(万元),1851,1142,464,2728,2368,1482,398,1777,1996,1117,388,1187,948,730,990,558,4,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,
净利润(万元),12577,7085,3384,17934,12877,6911,2247,14508,11180,6100,2059,8626,6411,4986,6422,3175,1070,
归属于母公司所有者的净利润(万元),12577,7085,3384,17934,12877,6911,2247,14508,11180,6100,2059,8626,6411,4986,6422,3185,1070,
被合并方在合并前实现净利润(万元),,,,,,,,-21,12,,,,-19,,,249,,
少数股东损益(万元),0,,,,,,,,,,,,,,,-10,-0,
基本每股收益,0.64,0.36,0.17,0.92,0.66,0.35,0.23,1.75,1.43,0.84,0.28,1.18,0.88,0.68,1,,,
稀释每股收益,0.57,0.36,0.17,0.92,0.65,0.35,0.23,1.75,1.43,0.84,0.28,1.18,0.88,0.68,1,,,
