报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),62482,42803,23809,97088,70660,47298,22015,83150,63843,42984,14885,95101,68863,72435,73285,71996,
营业收入(万元),62482,42803,23809,97088,70660,47298,22015,83150,63843,42984,14885,95101,68863,72435,73285,71996,
利息收入(万元),,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,
营业总成本(万元),56981,39963,22242,92424,64193,43380,20197,75794,57400,38391,13309,86084,62850,65550,67139,66632,
营业成本(万元),43659,30378,17393,72105,52141,35107,16298,59985,45828,30945,11008,72170,52611,51663,53818,53649,
利息支出(万元),,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,
研发费用(万元),2541,1777,609,3849,2551,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,
营业税金及附加(万元),510,359,126,799,513,363,177,790,546,367,64,614,392,678,322,440,
销售费用(万元),2226,1646,675,2772,1939,1369,529,1853,1284,915,431,1382,1004,1321,1633,1566,
管理费用(万元),6825,4561,2328,9607,6493,5684,2759,10637,7427,4581,1627,10250,7325,8309,8077,7684,
财务费用(万元),1219,1242,1346,925,389,326,487,2233,1588,1094,180,1062,1053,3528,3391,2844,
资产减值损失(万元),,,-236,2367,167,531,-52,296,727,489,,606,465,52,-102,448,
公允价值变动收益(万元),-560,-244,477,222,-112,827,608,157,-153,-153,,319,-108,-287,25,20,
投资收益(万元),1129,822,427,526,255,211,7,-146,-81,-29,8,-626,-135,66,,0,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,
营业利润(万元),5912,3988,2472,5414,6610,4927,2434,7308,6260,4462,1584,8710,5771,6664,6172,5384,
营业外收入(万元),432,386,64,514,464,371,10,936,575,143,95,1659,1282,1376,413,337,
营业外支出(万元),18,4,4,65,48,12,6,40,74,58,1,114,41,104,193,81,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,,
利润总额(万元),6326,4370,2531,5863,7026,5286,2438,8204,6761,4546,1679,10255,7012,7936,6391,5640,
所得税费用(万元),1287,827,425,1933,1380,1142,620,1497,1455,862,453,2475,1663,1522,1348,926,
未确认投资损失(万元),,,,,,,,,,,,,,,,,
净利润(万元),5039,3544,2106,3931,5645,4143,1818,6707,5306,3685,1225,7781,5349,6414,5044,4714,
归属于母公司所有者的净利润(万元),5039,3544,2106,3898,5613,4111,1824,6719,5295,3701,1238,7668,5295,6440,5053,4753,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,
少数股东损益(万元),0,0,-0,33,33,33,-6,-11,11,-16,-12,113,54,-26,-9,-39,
基本每股收益,0.68,0.48,0.28,0.52,0.75,0.55,0.24,1.14,0.95,0.66,0.22,1.37,0.95,1.28,1.01,0.95,
稀释每股收益,0.68,0.48,0.28,0.52,0.75,0.55,0.24,1.14,0.95,0.66,0.22,1.37,0.95,1.28,1.01,0.95,
