报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,
营业总收入(万元),37481,27190,11430,47364,33883,25265,10414,41197,24227,30232,20599,16226,10530,
营业收入(万元),37481,27190,11430,47364,33883,25265,10414,41197,24227,30232,20599,16226,10530,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),30171,21201,9724,39250,27540,20216,8306,34399,19623,25250,16935,14642,10634,
营业成本(万元),23018,16855,7265,28809,20230,14923,6049,24526,14546,17944,11942,9339,6547,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),2089,1220,637,3002,2278,1328,751,2814,,2105,,,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),279,246,96,521,408,330,142,579,398,328,120,178,97,
销售费用(万元),2799,1578,678,3416,2542,1620,618,2962,1641,2127,1495,1386,1117,
管理费用(万元),1886,1177,471,2514,1692,1125,451,2686,2473,2091,2860,3210,2284,
财务费用(万元),100,125,33,676,391,186,63,294,125,231,148,397,408,
资产减值损失(万元),,,544,312,,704,232,539,439,425,370,133,181,
公允价值变动收益(万元),,,,,,,,,,,,,,
投资收益(万元),,,,2,2,2,2,5,4,17,14,0,0,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),6346,5169,1837,8441,5557,5139,2158,6808,4614,4999,3678,1584,-104,
营业外收入(万元),646,548,280,197,233,194,20,408,67,184,138,345,74,
营业外支出(万元),8,8,8,19,3,0,2,41,5,53,32,38,31,
非流动资产处置损失(万元),,,,,,,,,1,,,1,,
利润总额(万元),6984,5709,2108,8619,5787,5333,2176,7175,4677,5130,3784,1891,-61,
所得税费用(万元),945,748,206,1006,850,813,361,973,726,775,649,298,49,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),6038,4962,1902,7613,4938,4520,1815,6202,3951,4355,3135,1593,-111,
归属于母公司所有者的净利润(万元),6050,4970,1906,7629,4950,4529,1819,6211,3952,4355,3135,1593,-111,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,
少数股东损益(万元),-12,-8,-4,-16,-13,-8,-4,-9,-2,-0,-0,-1,,
基本每股收益,0.82,0.75,0.29,1.14,0.74,0.68,0.27,0.95,0.61,0.74,0.53,0.28,-0.02,
稀释每股收益,0.82,0.75,0.29,1.14,0.74,0.68,0.27,0.95,0.61,0.74,0.53,0.28,-0.02,
