报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,
营业总收入(万元),283577,202796,113255,360583,238496,164853,90842,277900,191790,129392,63951,226907,163094,105358,205637,109410,55203,192640,150845,97186,51745,146710,117648,79531,39879,,86978,61801,
营业收入(万元),283577,202796,113255,360583,238496,164853,90842,277900,191790,129392,63951,226907,163094,105358,205637,106419,53774,192640,142034,77125,43178,146710,91181,60071,32231,99865,66434,46833,
利息收入(万元),,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,2990,1429,,8811,20062,8567,,26467,19459,7649,,20545,14968,
营业总成本(万元),270412,191871,108886,351075,234606,159070,89298,269023,180966,119978,63750,215461,156834,102849,201737,110209,58839,188359,151060,97960,56466,146655,122432,79524,42410,16504,84294,58497,
营业成本(万元),224375,161528,92712,290946,192153,130887,74724,217086,150635,99442,51152,168737,124422,78447,156332,85791,46007,158584,121565,72458,42025,121417,88226,56726,31700,92216,60287,42079,
利息支出(万元),,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,2011,999,,7139,11375,6453,,17451,12539,4958,,12159,8701,
营业税金及附加(万元),1440,1018,503,1951,1269,941,418,1997,1135,924,455,2622,2342,1709,3645,998,452,2559,467,121,63,2798,209,158,86,,212,168,
销售费用(万元),10527,6528,3600,13358,9507,6094,3691,11978,8393,5687,3165,10112,7030,4641,9702,5179,2917,7614,5698,3473,1884,5954,4055,2518,1408,3867,2691,1668,
管理费用(万元),20028,13460,7212,25966,17795,11528,6133,24045,16329,11213,5708,20863,14675,10517,22173,9878,5501,13786,9645,6570,4007,11237,8177,5592,3412,8865,6309,4299,
财务费用(万元),14042,9337,4558,16502,12106,7831,3688,13975,10164,6996,3207,14251,10396,6804,11870,6352,2962,7768,6546,3962,2034,5066,4219,1991,846,3773,2636,1582,
资产减值损失(万元),,,301,2352,1776,1789,644,-59,-424,-350,63,2014,1034,732,1102,-0,-0,837,-0,,,184,95,,,,,,
公允价值变动收益(万元),,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,
投资收益(万元),4064,3501,433,7064,6316,5058,1519,5623,4868,3712,1728,3140,3065,1997,3088,932,46,2789,1332,1122,390,1739,1028,792,0,1841,445,584,
对联营企业和合营企业的投资收益(万元),,,,5101,,,0,,,,0,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,500,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,14339,,,
营业利润(万元),18836,15201,4923,18489,11662,12183,3694,15096,10824,9413,1929,11446,6260,4506,3900,132,-3590,4281,1117,348,-4331,1794,-3757,798,-2530,5205,3129,3888,
营业外收入(万元),1098,730,351,1319,1030,665,259,1220,970,681,501,1362,817,596,1537,570,216,1057,531,328,151,550,1642,185,89,332,758,165,
营业外支出(万元),297,260,221,858,762,407,123,556,396,316,30,677,507,438,1294,32,11,758,133,61,55,484,95,32,18,83,50,39,
非流动资产处置损失(万元),,,,,,,,,231,195,,617,416,414,1124,,,553,,,,311,,,,,,,
