报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),353222,202479,61299,437796,336738,181322,57568,361695,272077,184924,
营业收入(万元),353222,202479,61299,437796,336738,181322,57568,361695,272077,184924,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),321637,187254,61024,402268,300808,171635,57666,339430,264351,179516,
营业成本(万元),264116,152012,45326,330772,256195,140157,44687,279698,212541,148704,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),14866,8417,2921,17314,11425,,3106,13301,11156,,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),483,266,113,1628,731,435,235,2235,1314,803,
销售费用(万元),32164,19644,7567,36811,26116,15104,5885,27051,20832,14946,
管理费用(万元),10694,6148,2842,12531,9224,13219,2480,11709,16526,13918,
财务费用(万元),-685,767,1303,-2327,-2883,-1016,1049,2605,94,342,
资产减值损失(万元),,,953,5540,,3736,224,2831,1889,802,
公允价值变动收益(万元),,,,,,,,,,,
投资收益(万元),1357,152,95,134,37,,,269,165,,
对联营企业和合营企业的投资收益(万元),,,,,,,,142,104,,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),29158,13008,1680,37530,32846,10989,2287,23621,8820,5936,
营业外收入(万元),281,146,84,1460,1240,1221,4,122,159,304,
营业外支出(万元),9,0,0,34,7,5,10,13,8,0,
非流动资产处置损失(万元),,,,,,,,,,,
利润总额(万元),29431,13154,1764,38957,34080,12205,2281,23730,8970,6240,
所得税费用(万元),4772,1899,140,5167,4837,1624,286,3229,2195,690,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),24659,11256,1624,33790,29243,10581,1994,20500,6775,5550,
归属于母公司所有者的净利润(万元),24472,11262,1790,33623,29027,10567,1992,20433,6176,5449,
被合并方在合并前实现净利润(万元),,,,,,,,-260,1664,-300,
少数股东损益(万元),187,-7,-165,167,216,14,2,67,599,102,
基本每股收益,2.07,1.04,0.17,3.27,2.82,1.03,0.19,2.09,,,
稀释每股收益,2.07,1.04,0.17,3.27,2.82,1.03,0.19,2.09,,,
