报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),,116320,296043,,132340,274660,119691,294209,203612,292073,287152,211750,
营业收入(万元),161970,116320,296043,190155,132340,274660,119691,294209,203612,292073,287152,211750,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),,109392,276285,,125820,264938,113705,261237,183302,260940,254987,186746,
营业成本(万元),0,95608,244414,0,109938,226422,100452,231744,162012,231251,229836,172891,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),,239,405,,198,,,,,,,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),,950,2276,,1036,1946,919,2090,892,1310,884,580,
销售费用(万元),,3227,6624,,2993,6545,2939,6714,4625,6502,5935,3807,
管理费用(万元),,6180,14436,,7452,24248,6108,12691,10037,14475,11232,5436,
财务费用(万元),,3188,8000,,4295,6661,3168,7908,5736,7595,7189,2982,
资产减值损失(万元),,,130,,-92,-885,118,90,,-193,-89,1051,
公允价值变动收益(万元),,,,,,,,,,,,,
投资收益(万元),,,,,,,,,,-338,-321,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),8071,8429,22126,6899,7078,14828,5987,32972,20310,30794,31845,25004,
营业外收入(万元),,53,215,,96,346,1571,1849,2539,3196,4001,1015,
营业外支出(万元),,92,238,,167,697,415,835,433,589,466,121,
非流动资产处置损失(万元),,,,,,,302,,84,23,124,,
利润总额(万元),7983,8390,22104,6862,7007,14478,7143,33985,22416,33401,35380,25898,
所得税费用(万元),,1753,4650,,1808,5744,2352,8250,5826,9105,9190,6619,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),6358,6637,17454,5514,5199,8734,4791,25736,16589,24296,26190,19279,
归属于母公司所有者的净利润(万元),6358,6637,17495,5554,5235,5794,5024,24290,15888,23676,25304,19049,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,
少数股东损益(万元),,,-41,,-37,2940,-233,1446,701,621,886,230,
基本每股收益,,0.08,0.2,,0.06,0.07,,,,,,,
稀释每股收益,,0.08,0.2,,0.06,0.07,,,,,,,
