报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),1733744,933866,423693,2585478,1726752,947976,489880,2392084,1343223,739392,1713844,1709266,1539767,
营业收入(万元),1733744,933866,423693,2585478,1726752,947976,489880,2392084,1343223,739392,1713844,1709266,1539767,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),1536272,863694,401551,2266353,1551308,898125,470438,2195309,1258331,710597,1605350,1539145,1374847,
营业成本(万元),1352353,747516,344047,1985857,1355146,780275,403111,1964153,1101449,614343,1429177,1374339,1229600,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),88637,55051,17577,122288,84917,47764,,,72882,,,,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),8373,4365,2373,15666,10693,5907,3129,12704,9035,5354,9909,7124,7490,
销售费用(万元),25122,14454,6368,30570,21346,12324,6134,26440,18288,11821,22877,21040,18118,
管理费用(万元),78018,48523,22727,91028,65321,39253,41993,173288,44227,72099,144748,134939,118945,
财务费用(万元),-16232,-6215,5746,7990,8958,12602,12230,13456,10110,4283,-8332,-4585,-2557,
资产减值损失(万元),,,2713,12953,4927,,3841,5268,2340,2697,6971,6288,3252,
公允价值变动收益(万元),-78,-78,-35,-100,-176,-176,-147,176,-44,393,,761,-865,
投资收益(万元),2802,2031,1482,10097,9007,7309,3542,11394,8220,2603,7968,11821,617,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),205297,76851,25642,340432,191357,54077,23250,213866,98128,31791,116518,180254,164672,
营业外收入(万元),806,599,125,697,881,473,162,3877,1439,4747,5777,5673,3688,
营业外支出(万元),870,840,270,5384,2328,244,166,1290,1558,521,124,332,1264,
非流动资产处置损失(万元),,,,,,,,,,395,,,1146,
利润总额(万元),205233,76610,25497,335746,189910,54307,23246,216454,98010,36017,122170,185595,167095,
所得税费用(万元),35005,15678,7004,58624,33698,11275,5345,33721,13597,7842,21772,32993,25682,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),170228,60931,18493,277122,156212,43031,17902,182732,84413,28176,100398,152602,141413,
归属于母公司所有者的净利润(万元),170228,60931,18493,277122,156212,43031,17902,182732,84413,28176,100398,152602,141413,
被合并方在合并前实现净利润(万元),,,,,,,,4298,,4298,52,-5142,32495,
少数股东损益(万元),,,,,,,,,,,,,,
基本每股收益,0.74,0.26,0.08,1.3,0.75,0.21,0.09,0.93,0.44,0.15,0.59,0.9,,
稀释每股收益,0.74,0.26,0.08,1.3,0.75,0.21,0.09,0.93,0.44,0.15,0.59,0.9,,
