报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),203808,138562,195338,138923,84062,144954,76097,46489,
营业收入(万元),203808,138562,195338,138923,84062,144954,76097,46489,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),145901,93937,158752,114882,68930,124043,69151,44796,
营业成本(万元),124559,80629,136030,98448,59505,106412,55629,32269,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),6540,4347,6644,4494,2825,4906,2864,1864,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),1014,731,1016,660,477,697,410,336,
销售费用(万元),8807,5561,10192,6794,4060,7353,5905,6367,
管理费用(万元),4296,2021,3623,3582,1371,2478,2709,1735,
财务费用(万元),686,649,1247,904,693,1541,1556,1981,
资产减值损失(万元),,,,,,656,93,230,
公允价值变动收益(万元),,,,,,,,,
投资收益(万元),39,43,166,104,82,,,155,
对联营企业和合营企业的投资收益(万元),,,,,,,,,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),58080,44852,36618,23937,15250,21354,7408,1854,
营业外收入(万元),221,107,23,13,,45,271,565,
营业外支出(万元),164,151,14,9,9,1,3,23,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),58137,44808,36627,23941,15241,21399,7676,2396,
所得税费用(万元),8897,7246,5095,3414,2271,2864,967,179,
未确认投资损失(万元),,,,,,,,,
净利润(万元),49240,37562,31532,20526,12970,18535,6709,2216,
归属于母公司所有者的净利润(万元),49240,37562,31532,20526,12970,18535,6709,2216,
被合并方在合并前实现净利润(万元),,,,,,,,,
少数股东损益(万元),,,,,,,,,
基本每股收益,6.15,4.7,3.94,2.57,1.62,2.32,0.84,,
稀释每股收益,6.15,4.7,3.94,2.57,1.62,2.32,0.84,,
