报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),30974,17041,5545,45378,25690,14641,4253,33573,19838,9999,3854,32979,20253,12062,3652,32359,12831,34354,30381,21660,
营业收入(万元),30974,17041,5545,45378,25690,14641,4253,33573,19838,9999,3854,32979,20253,12062,3652,32359,12831,34354,30381,21660,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),27580,15288,5461,41669,22499,13069,3977,28802,17170,8812,3565,27549,17624,10642,3563,26673,10733,28975,27517,20353,
营业成本(万元),20346,10771,3597,29405,15422,9042,2177,19409,11172,5622,1957,18954,12109,7473,2116,18906,7691,21487,19913,14690,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,
研发费用(万元),800,576,169,1600,1029,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),285,224,86,716,442,275,96,469,306,145,66,493,156,93,25,356,135,272,443,259,
销售费用(万元),2093,1140,641,4135,2589,1202,772,3614,2425,1108,777,3641,2234,1183,530,2976,985,2773,3415,2746,
管理费用(万元),3703,2401,1093,4926,2705,2418,1013,4944,3399,2186,876,4123,3223,2023,886,4208,1836,3703,3291,2390,
财务费用(万元),353,176,86,447,435,246,97,223,91,46,29,75,61,29,7,68,55,363,351,256,
资产减值损失(万元),,,-211,438,-124,-114,-178,143,-222,-294,-139,262,-159,-159,,159,33,377,104,12,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,
投资收益(万元),-634,-416,-272,37,94,84,32,141,,,,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),-334,-116,-272,-184,-103,,,-18,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,3,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,
营业利润(万元),3365,1829,275,4115,3325,1686,308,5522,2672,1187,289,5430,2629,1420,89,5686,2098,5380,2864,1308,
营业外收入(万元),2,2,2,266,8,0,0,2,48,46,4,253,248,162,139,146,64,564,497,255,
营业外支出(万元),23,18,10,74,20,11,1,295,191,46,35,119,71,50,10,206,23,283,315,210,
非流动资产处置损失(万元),,,,,,,,,0,0,0,,,,,2,,83,247,32,
利润总额(万元),3344,1813,267,4308,3313,1675,307,5230,2529,1187,257,5564,2806,1531,218,5626,2139,5661,3045,1352,
所得税费用(万元),622,330,51,778,612,328,97,842,488,258,60,933,508,266,33,1212,595,774,743,287,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,
净利润(万元),2722,1483,216,3530,2701,1347,210,4388,2041,929,197,4631,2299,1265,185,4414,1544,4886,2302,1066,
归属于母公司所有者的净利润(万元),2724,1495,222,3540,2701,1347,210,4388,2041,929,197,4631,2299,1265,185,4414,1544,4886,2302,1066,
被合并方在合并前实现净利润(万元),,,,,,,,4264,,,,,,,,,,,,,
少数股东损益(万元),-2,-11,-6,-11,,,,,,,,,,,,,,,,,
基本每股收益,0.21,0.12,0.03,0.47,0.36,0.18,0.03,0.63,0.35,0.16,0.03,0.82,0.39,0.22,0.03,0.78,0.27,0.94,0.45,0.35,
稀释每股收益,0.21,0.12,0.03,0.47,0.36,0.18,0.03,0.63,0.35,0.16,,0.82,0.39,0.22,,0.78,0.27,0.94,0.45,0.35,
