报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),163846,112616,51488,217488,163045,108223,50195,190094,139368,87505,173268,156018,178816,
营业收入(万元),163846,112616,51488,217488,163045,108223,50195,190094,139368,87505,173268,156018,178816,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),128667,87207,40714,168936,123311,80651,36407,151314,111427,69529,137652,142316,161508,
营业成本(万元),104523,70902,33386,138748,101813,66159,29017,122370,91061,55745,112113,103355,135206,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),7625,5015,1903,9349,6800,4344,1888,,4758,3499,,,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),587,426,191,1000,744,512,168,1037,789,496,719,490,375,
销售费用(万元),7590,4868,2099,9271,7008,4451,2090,9419,6495,4176,9207,9425,9305,
管理费用(万元),9312,6502,2922,11589,7801,5074,2150,15289,5796,3763,14551,25620,14661,
财务费用(万元),-971,-506,283,-944,-649,68,1098,2938,2279,1469,349,2172,1715,
资产减值损失(万元),,,-70,-76,-206,44,-2,262,249,380,712,1254,246,
公允价值变动收益(万元),1322,62,-124,-64,401,,,,,,,21,17,
投资收益(万元),-97,-83,-51,1,23,,,,,,5,-1077,1,
对联营企业和合营企业的投资收益(万元),-126,-86,,1,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),36687,25717,10862,49350,40947,27610,13790,39065,27936,17972,35782,12767,17325,
营业外收入(万元),1123,1101,1093,607,53,5,0,200,76,13,386,164,223,
营业外支出(万元),32,20,17,271,270,,,544,511,8,3295,1533,581,
非流动资产处置损失(万元),,,,,,,,,,,,,21,
利润总额(万元),37777,26798,11938,49687,40731,27615,13790,38721,27501,17977,32873,11398,16967,
所得税费用(万元),5153,3664,1756,8529,7742,4935,2485,6455,4658,2913,5794,4065,2391,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),32624,23134,10182,41158,32989,22680,11305,32265,22843,15064,27079,7333,14576,
归属于母公司所有者的净利润(万元),32831,23309,10260,41227,32251,22018,11022,31487,22299,14803,26273,7662,14428,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,9084,14240,
少数股东损益(万元),-207,-175,-78,-69,738,662,283,778,544,261,805,-328,148,
基本每股收益,0.56,0.4,0.18,0.74,0.59,0.42,0.21,0.6,0.42,0.28,0.52,,,
稀释每股收益,0.56,0.4,0.18,,0.59,0.42,0.21,0.6,0.42,0.28,0.52,,,
