报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),41594,31851,16470,46572,31291,24059,9647,37476,18468,29824,7736,21368,15215,7463,
营业收入(万元),41594,31851,16470,46572,31291,24059,9647,37476,18468,29824,7736,21368,15215,7463,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),27082,20406,10637,30680,18988,14927,5065,24560,11508,25001,7266,20725,14669,7812,
营业成本(万元),23308,17537,9154,25609,16654,13001,4177,20097,9311,18611,5546,11688,10178,4140,
利息支出(万元),,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),1194,1046,178,622,474,252,89,1054,,413,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),371,307,164,295,263,207,51,203,103,131,,,,,
销售费用(万元),300,207,104,375,234,152,62,298,141,251,98,226,304,185,
管理费用(万元),1995,1350,632,2481,1568,1083,495,2411,1410,3337,1331,6995,1751,1522,
财务费用(万元),-87,-40,-18,-209,-205,-164,-39,-78,-9,279,233,1683,2097,1610,
资产减值损失(万元),,,422,1507,,396,230,575,552,1978,58,134,339,354,
公允价值变动收益(万元),,,,,,,,,,,,,,,
投资收益(万元),541,301,,352,,,,229,229,184,,,815,1648,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),15181,10922,6293,17480,12316,9704,5085,14450,7331,4975,470,642,1361,1299,
营业外收入(万元),41,41,41,102,2,2,1,257,201,1058,191,390,299,251,
营业外支出(万元),6,,,49,44,2,,107,115,208,,4,37,77,
非流动资产处置损失(万元),,,,,,,,,9,,,,,,
利润总额(万元),15216,10963,6335,17533,12274,9704,5086,14600,7417,5826,661,1028,1623,1473,
所得税费用(万元),2219,1610,856,2572,1933,1419,1093,2346,1244,914,162,922,313,-78,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),12997,9353,5478,14961,10341,8285,3993,12254,6173,4911,499,106,1310,1551,
归属于母公司所有者的净利润(万元),12997,9353,5478,14961,10341,8285,3993,12254,6173,4911,499,125,1316,1551,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,-19,-6,,
基本每股收益,0.28,0.21,0.12,0.34,0.23,0.19,0.09,0.27,0.14,0.11,0.01,,0.04,0.05,
稀释每股收益,0.28,0.21,0.12,0.34,0.23,0.19,0.09,0.27,0.14,0.11,,,0.04,0.05,
