报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),92646,59708,28940,120951,92477,60124,29058,116992,89531,58275,28752,98860,73596,48945,22845,110121,55304,84607,63291,63815,
营业收入(万元),92646,59708,28940,120951,92477,60124,29058,116992,89531,58275,28752,98860,73596,48945,22845,110121,55304,84607,63291,63815,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),89172,57353,28288,115931,86292,55750,27574,106273,79601,50293,24376,82991,60933,39639,18589,93671,49143,78552,60914,62260,
营业成本(万元),82517,52865,26083,105194,79758,51502,25256,95826,72853,46147,22231,73989,53711,35029,16789,82833,42073,69473,53776,55640,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,
研发费用(万元),2220,1512,782,4216,2237,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),121,79,40,185,111,74,35,451,382,348,106,641,361,192,69,588,323,368,251,145,
销售费用(万元),1927,1336,644,2433,1804,1199,577,2382,1701,1058,541,2381,1780,1173,487,1948,984,1798,1188,1497,
管理费用(万元),2179,1415,697,2653,1964,2485,1143,6288,3754,2306,1201,5667,4515,2805,858,7007,4907,4323,3884,3071,
财务费用(万元),207,145,42,430,344,416,563,1409,1014,537,296,28,337,211,386,982,709,1669,1728,1840,
资产减值损失(万元),,,,821,73,73,,-82,-104,-104,,285,229,229,,314,148,920,87,67,
公允价值变动收益(万元),,,,,,,0,-13,,-17,-3,13,,,,,,,,,
投资收益(万元),607,461,241,1704,1285,902,468,909,392,,,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,
营业利润(万元),4224,2947,1073,6916,7649,5427,2097,11728,10322,7964,4373,15883,12663,9306,4257,16451,6162,6055,2378,1555,
营业外收入(万元),0,0,0,0,0,0,,926,1064,993,103,177,156,150,140,62,37,208,17,165,
营业外支出(万元),32,30,0,14,11,11,0,7,5,1,1,247,215,21,,247,,181,13,9,
非流动资产处置损失(万元),,,,,,,,,,1,,216,215,0,,218,,178,,,
利润总额(万元),4192,2917,1073,6902,7638,5416,2096,12646,11381,8956,4475,15813,12604,9436,4397,16265,6199,6082,2382,1711,
所得税费用(万元),628,437,161,869,1147,813,314,1840,1707,1343,671,2368,1892,1450,660,2464,942,866,478,263,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,
净利润(万元),3565,2479,912,6034,6490,4603,1782,10806,9674,7613,3803,13445,10712,7986,3737,13801,5257,5216,1904,1448,
归属于母公司所有者的净利润(万元),3565,2479,912,6034,6490,4603,1782,10806,9674,7613,3803,13445,10712,7986,3737,13801,5257,5216,1904,1448,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,
基本每股收益,0.07,0.05,0.02,0.12,0.13,0.09,0.06,0.41,0.38,0.32,0.18,0.62,0.5,0.37,0.17,0.64,0.24,0.24,0.09,0.07,
稀释每股收益,0.07,0.05,0.02,0.12,0.13,0.09,0.06,0.41,0.38,0.32,,0.62,0.5,0.37,,0.64,0.24,0.24,0.09,0.07,
