报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),201773,127539,60130,271889,180332,116023,59679,246190,158715,99564,47822,197702,122940,185119,177558,159027,
营业收入(万元),201773,127539,60130,271889,180332,116023,59679,246190,158715,99564,47822,197702,122940,185119,177558,159027,
利息收入(万元),,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,
营业总成本(万元),178719,114424,52915,240931,161569,103424,50892,217154,141354,89062,40781,175303,109992,169887,164123,146783,
营业成本(万元),124918,79600,37667,176422,117387,74405,37941,156674,100217,62820,30214,124674,78039,123421,117786,107650,
利息支出(万元),,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,
研发费用(万元),5436,3087,1076,6896,5581,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,
营业税金及附加(万元),733,351,192,1397,806,551,334,1365,710,477,290,1161,687,848,614,695,
销售费用(万元),39101,25782,11377,44639,29704,20107,9082,39167,25965,17155,7148,30398,18942,26604,30290,25838,
管理费用(万元),9216,6046,2692,11399,8150,8384,3557,18490,13274,7832,2702,16339,10189,16222,13701,11380,
财务费用(万元),-687,-442,-178,-666,-522,-442,-178,592,543,362,249,1231,966,2054,1444,903,
资产减值损失(万元),,,187,844,463,419,154,866,645,417,177,1501,1170,737,287,316,
公允价值变动收益(万元),-155,-17,150,,,,,,,,,,,,,,
投资收益(万元),1279,1002,368,1566,1172,71,6,53,53,53,23,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,
营业利润(万元),23342,13693,7833,32815,20065,12731,8804,29523,17838,10768,7065,22399,12949,15232,13435,12244,
营业外收入(万元),2442,2341,1605,1291,1194,1157,27,1357,781,779,15,1508,486,1120,1050,1233,
营业外支出(万元),108,61,14,40,26,17,11,71,28,19,7,35,28,66,148,377,
非流动资产处置损失(万元),,,,,,,,,9,8,,6,6,6,8,54,
利润总额(万元),25675,15973,9424,34067,21234,13872,8820,30809,18590,11528,7072,23873,13406,16285,14337,13100,
所得税费用(万元),4215,2513,1867,5559,3167,1905,1568,5075,2910,1626,1252,4102,2078,2807,2388,2310,
未确认投资损失(万元),,,,,,,,,,,,,,,,,
净利润(万元),21460,13460,7557,28507,18067,11967,7251,25735,15681,9902,5820,19770,11328,13478,11949,10790,
归属于母公司所有者的净利润(万元),21460,13460,7557,28507,18067,11967,7251,25735,15681,9902,5820,19770,11328,13478,11529,9880,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,420,910,
基本每股收益,0.8,0.5,0.28,1.07,0.68,0.45,0.27,1.25,0.78,0.5,0.29,0.99,0.57,0.8,0.75,0.64,
稀释每股收益,0.8,0.5,0.28,1.07,0.68,0.45,0.27,1.25,0.78,0.5,0.29,0.99,0.57,0.8,0.75,0.64,
