报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),42642,34162,15952,71706,45411,29528,14830,49067,32412,16850,58528,34560,10483,
营业收入(万元),42642,34162,15952,71706,45411,29528,14830,49067,32412,16850,58528,34560,10483,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),43938,34245,15656,68170,43616,27900,13676,43507,29255,15132,46396,25286,9312,
营业成本(万元),35107,28262,13118,52529,33344,20991,10415,30089,19327,9706,32447,19254,6515,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),3695,2520,1273,5893,4114,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),351,288,143,587,357,247,122,440,351,223,427,247,59,
销售费用(万元),2291,1547,695,3661,2219,1339,669,2764,2021,1147,3086,1475,626,
管理费用(万元),2631,1688,761,3274,2441,4567,2280,9393,6821,3942,9851,3295,1798,
财务费用(万元),-137,-59,-173,-135,127,-50,-10,0,2,11,15,22,56,
资产减值损失(万元),,,-160,2361,1014,806,200,820,734,104,570,993,257,
公允价值变动收益(万元),573,,,,,,,,,,,,,
投资收益(万元),,311,238,781,638,358,232,827,599,278,212,153,22,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),2229,2398,1680,8621,5918,4735,3053,9243,5805,3018,12344,9421,1192,
营业外收入(万元),79,58,20,227,58,44,16,784,576,536,2951,1350,306,
营业外支出(万元),12,9,,39,37,37,0,6,10,9,6,6,1,
非流动资产处置损失(万元),,,,,,,,,8,,,,,
利润总额(万元),2296,2447,1699,8809,5939,4742,3069,10022,6372,3545,15290,10765,1498,
所得税费用(万元),154,198,137,564,356,366,256,872,805,463,2658,1575,279,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),2141,2249,1562,8246,5583,4376,2814,9150,5567,3082,12631,9190,1219,
归属于母公司所有者的净利润(万元),2141,2249,1562,8246,5583,4376,2814,9150,5567,3082,12631,9190,1219,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,
基本每股收益,0.19,0.2,0.14,0.8,0.57,0.48,0.33,1.07,0.65,0.36,1.55,1.19,,
稀释每股收益,0.19,0.2,0.14,0.8,0.57,0.48,0.33,1.07,0.65,0.36,1.55,1.19,,
