报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,
营业总收入(万元),27372,19554,10287,37843,24761,16221,8850,30661,22995,25407,25022,
营业收入(万元),27372,19554,10287,37843,24761,16221,8850,30661,22995,25407,25022,
利息收入(万元),,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,
营业总成本(万元),12693,8961,6254,21894,14237,9462,4430,17295,13053,12565,12814,
营业成本(万元),6508,4824,3059,10942,7021,4570,1678,9824,7513,6479,6425,
利息支出(万元),,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,
研发费用(万元),1663,1192,498,2252,1267,880,557,2376,1610,1194,938,
退保金(万元),,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,
营业税金及附加(万元),140,63,2,280,195,115,71,70,15,43,9,
销售费用(万元),667,419,187,939,608,403,285,728,481,492,296,
管理费用(万元),3942,2630,1010,4676,2986,1959,1102,3702,2885,3377,3307,
财务费用(万元),-227,-166,-94,-210,-190,-136,-77,-233,-165,-116,-18,
资产减值损失(万元),,,466,3014,2351,1673,813,828,714,1097,1856,
公允价值变动收益(万元),,,,,,,,,,,,
投资收益(万元),1286,497,22,457,,,,83,70,159,261,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,
营业利润(万元),10609,7242,4054,16615,10733,6759,4420,13499,10020,13007,12471,
营业外收入(万元),202,0,0,1,1,1,,100,50,0,,
营业外支出(万元),12,,,2,2,,,0,0,1,0,
非流动资产处置损失(万元),,,,,,,,,,,,
利润总额(万元),10799,7243,4054,16613,10732,6759,4420,13599,10070,13007,12471,
所得税费用(万元),1902,1392,630,2480,1787,1077,672,1943,1510,1919,1892,
未确认投资损失(万元),,,,,,,,,,,,
净利润(万元),8897,5850,3424,14133,8945,5682,3748,11656,8559,11088,10579,
归属于母公司所有者的净利润(万元),8974,5891,3432,14133,8945,5682,3748,11656,8559,11088,10579,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,
少数股东损益(万元),-77,-40,-8,,,,,,,,,
基本每股收益,0.76,0.5,0.29,1.45,0.98,0.65,0.43,1.32,0.97,1.26,1.2,
稀释每股收益,0.76,0.5,0.29,1.45,0.98,0.65,0.43,1.32,0.97,1.26,1.2,
