报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),203374,111430,48075,314713,251592,175597,89011,258232,149827,97967,61333,173203,123250,88351,39829,185813,133177,94437,52372,142460,112822,77614,139334,93840,76493,
营业收入(万元),203374,111430,48075,314713,251592,175597,89011,258232,149827,97967,61333,173203,123250,88351,39829,185813,133177,94437,52372,142460,112822,77614,139334,93840,76493,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),194866,108093,47250,310005,246763,171668,87025,249731,146273,95601,59730,169052,118721,84874,38317,183220,130179,91717,50815,136432,107653,73375,132419,88889,70811,
营业成本(万元),182421,100337,43316,288219,230578,161483,81513,230515,138073,90139,57005,158944,112415,80379,36465,172180,123917,87745,48709,128074,101632,69300,124522,82178,65031,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),1537,1017,448,1031,1642,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),850,507,206,1682,1213,816,398,1079,404,264,147,836,427,352,153,809,652,534,321,1090,915,610,1409,1107,1110,
销售费用(万元),4604,2728,1405,9299,6578,4431,2878,6041,2589,1797,807,3527,2492,1606,508,3340,2090,1305,511,3030,2030,1216,2574,2531,2003,
管理费用(万元),4880,3261,1612,8384,5933,5021,2258,9806,4586,3063,1550,5249,4060,2638,1133,4458,2865,1829,719,3673,2438,1664,3260,2758,2976,
财务费用(万元),574,242,118,345,212,187,70,-176,-191,-152,-64,-319,-158,-103,-8,-189,-135,-39,-27,-80,-45,-24,-90,-46,-23,
资产减值损失(万元),,,145,1044,607,-269,-91,2466,813,491,285,815,-516,2,64,2623,791,344,582,646,684,608,743,361,-287,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),10,1,-22,508,326,218,109,279,299,166,88,101,235,147,62,63,21,,,,,,,-26,,
对联营企业和合营企业的投资收益(万元),-4,-10,-22,217,106,68,40,199,238,106,88,101,235,147,62,63,21,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),7357,3192,896,6878,6421,4700,2095,9268,3853,2531,1691,4253,4764,3624,1574,2656,3018,2719,1558,6027,5168,4239,6915,4925,5683,
营业外收入(万元),82,21,21,286,1,0,,9,438,424,0,235,78,36,0,825,490,490,,1123,676,548,1805,1101,84,
营业外支出(万元),34,32,26,114,1,1,0,108,10,9,9,71,71,71,0,1,,,,2,,,,0,1,
非流动资产处置损失(万元),,,,,,,,,10,9,9,70,70,70,0,1,,,,2,,,,,0,
利润总额(万元),7405,3181,891,7050,6420,4700,2095,9170,4281,2946,1682,4417,4771,3588,1574,3480,3508,3210,1558,7149,5844,4787,8720,6026,5765,
所得税费用(万元),1288,425,15,935,836,679,214,1619,1161,821,421,1320,1146,850,394,908,862,774,406,2052,1506,1224,2321,1596,1740,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),6117,2757,876,6115,5585,4021,1881,7551,3121,2125,1261,3097,3625,2738,1181,2572,2646,2435,1151,5097,4338,3563,6399,4430,4025,
归属于母公司所有者的净利润(万元),6118,2758,876,5663,5089,3525,1432,6674,3057,2061,1265,3303,2846,1954,1232,2715,2677,2393,1148,5022,4279,3504,6349,4430,4025,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-1,-1,-0,452,495,496,449,877,63,64,-4,-206,780,784,-51,-143,-31,43,3,75,59,59,50,,,
基本每股收益,0.23,0.1,0.03,0.21,0.19,0.13,0.05,0.25,0.11,0.08,0.05,0.12,0.11,0.07,0.09,0.23,0.23,0.22,0.11,0.5,0.43,0.35,0.63,0.44,0.4,
稀释每股收益,0.23,0.1,0.03,0.21,0.19,0.13,0.05,0.25,0.11,0.08,0.05,0.12,0.11,0.07,0.09,0.23,0.23,0.22,0.11,0.5,0.43,0.35,0.63,0.44,0.4,
