报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),312630,218752,108808,445433,337591,229889,94444,389948,270026,189539,228084,213626,190666,
营业收入(万元),312630,218752,108808,445433,337591,229889,94444,389948,270026,189539,228084,213626,190666,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),238628,166586,83109,308362,225920,153112,64302,268496,218711,154040,207122,202854,180936,
营业成本(万元),211068,146000,71997,269087,198954,131867,52812,226893,174721,123071,169599,167969,147296,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),2544,995,498,2405,1574,1049,421,2223,1236,,,,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),1904,1367,774,3392,2653,1845,858,3026,1877,1065,1440,2405,2876,
销售费用(万元),18708,13131,5351,23714,18143,11890,5270,20927,15346,11015,13033,13143,12479,
管理费用(万元),8255,5558,2875,10743,7138,4815,2355,9311,17358,12631,8639,8217,9906,
财务费用(万元),-3851,-465,1693,-1906,-2542,116,2373,5723,2098,2501,5281,8998,8547,
资产减值损失(万元),,,,927,,1530,212,394,6075,3756,9128,2122,-169,
公允价值变动收益(万元),239,1116,541,34,34,34,34,2,-710,-1503,2379,11,792,
投资收益(万元),2284,400,-18,2245,1926,1422,565,1759,868,688,4039,8150,-2846,
对联营企业和合营企业的投资收益(万元),234,293,-29,2011,1732,1234,441,1081,1874,1596,3573,1767,2290,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),78861,54889,27280,140262,113054,78322,30825,123516,51489,34684,27380,18933,7676,
营业外收入(万元),741,708,667,2951,2887,2777,96,916,1410,1092,1205,1255,1585,
营业外支出(万元),421,219,85,750,504,284,150,268,428,537,1105,790,712,
非流动资产处置损失(万元),,,,,,,,,,305,488,12,154,
利润总额(万元),79180,55378,27862,142463,115436,80815,30771,124163,52471,35239,27480,19398,8549,
所得税费用(万元),17842,12395,6156,31627,28777,20143,6692,28626,16000,10734,6477,4743,2351,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),61338,42983,21705,110836,86659,60672,24079,95537,36471,24505,21003,14655,6198,
归属于母公司所有者的净利润(万元),61360,42999,21718,110771,86599,60623,24067,95417,36428,24463,20959,14682,6369,
被合并方在合并前实现净利润(万元),,,,,,,,,,553,-419,-579,-505,
少数股东损益(万元),-22,-16,-13,65,61,49,11,120,43,43,44,-27,-171,
基本每股收益,1.47,1.06,0.58,2.94,2.3,1.61,0.64,2.54,0.97,1.37,1.17,0.82,0.36,
稀释每股收益,1.47,1.06,0.58,2.94,2.3,1.61,0.64,2.54,0.97,1.37,1.17,0.82,0.36,
