报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),80195,52919,30416,88863,70318,44318,23890,54690,24202,41112,23708,10330,
营业收入(万元),80195,52919,30416,88863,70318,44318,23890,54690,24202,41112,23708,10330,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),56595,38635,22760,66299,50698,33015,17552,42980,18875,31167,18906,8910,
营业成本(万元),41653,28881,17270,47177,37789,24662,13245,29074,12843,20905,13514,5727,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),3864,2437,1112,3452,2341,1385,617,2033,,1530,,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),615,484,391,655,527,367,182,471,229,554,134,70,
销售费用(万元),9596,5735,2612,12137,8933,5544,2280,7355,2910,5031,1954,699,
管理费用(万元),2705,1795,821,3396,2223,1434,776,3030,2361,2668,2957,2230,
财务费用(万元),-1838,-697,383,-1139,-1116,-376,382,357,127,127,27,43,
资产减值损失(万元),,,171,621,,,71,659,405,353,320,141,
公允价值变动收益(万元),,,,,,,,,,,-0,0,
投资收益(万元),245,,,,,,,23,6,119,12,17,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,-0,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),26491,16126,8925,24670,19879,10959,6348,13406,5405,10060,4814,1438,
营业外收入(万元),7,3,0,280,269,256,145,145,67,550,730,136,
营业外支出(万元),4,4,1,77,76,76,0,13,2,38,3,0,
非流动资产处置损失(万元),,,,,,,,,1,,0,,
利润总额(万元),26493,16124,8924,24873,20072,11139,6493,13537,5470,10572,5541,1574,
所得税费用(万元),4211,2450,1261,3741,3344,1928,983,1989,889,1697,868,306,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),22283,13675,7663,21132,16728,9211,5509,11548,4581,8874,4673,1268,
归属于母公司所有者的净利润(万元),22283,13675,7663,21132,16728,9211,5509,11548,4581,8874,4673,1268,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,-0,
基本每股收益,2.51,1.64,1.02,2.82,2.23,1.23,0.73,1.54,0.61,1.2,3.21,1.13,
稀释每股收益,2.51,1.64,1.02,2.82,2.23,1.23,0.73,1.54,0.61,1.2,3.21,1.13,
