报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),163788,105551,50969,223487,164988,101595,47036,173637,122575,76415,37095,131235,94540,28237,105545,89696,60612,
营业收入(万元),163788,105551,50969,223487,164988,101595,47036,173637,122575,76415,37095,131235,94540,28237,105545,89696,60612,
利息收入(万元),,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,
营业总成本(万元),142104,95904,46595,198611,145020,90332,42417,155006,109339,67498,31094,109091,78195,22912,87734,75206,52647,
营业成本(万元),118760,79229,37992,169975,127308,78671,35802,131932,93194,57900,26868,92413,65734,18959,73599,64891,45527,
利息支出(万元),,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,
研发费用(万元),6722,4255,1997,8732,6160,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,
营业税金及附加(万元),1398,820,432,1646,1192,774,358,1339,845,483,191,996,719,285,382,484,190,
销售费用(万元),7420,4914,2329,9213,6608,4081,1702,7416,5304,3209,1386,6212,4591,1403,5665,2990,1751,
管理费用(万元),9243,6763,3233,9995,4776,6805,3272,11371,7963,5059,2353,9385,6785,2058,8093,6189,4704,
财务费用(万元),-1440,-77,1041,-1909,-1954,-414,1279,2136,1442,796,296,-1045,-259,169,-1269,-108,197,
资产减值损失(万元),,,19,958,929,415,3,812,591,52,,1131,625,38,1265,761,278,
公允价值变动收益(万元),353,31,285,176,,-338,,,,,,21,21,21,-21,,,
投资收益(万元),1749,1489,718,2079,1733,1301,571,33,32,27,7,138,127,-9,419,-10,20,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,
营业利润(万元),24284,11651,5621,27977,22182,12456,5430,20311,13899,9206,5758,22303,16493,5336,18210,14481,7985,
营业外收入(万元),163,89,2,30,26,20,3,216,228,221,16,429,242,81,897,245,125,
营业外支出(万元),125,116,26,333,367,289,116,448,854,684,177,569,447,186,371,284,189,
非流动资产处置损失(万元),,,,,,,,,765,658,,404,290,181,288,219,10,
利润总额(万元),24322,11625,5597,27674,21841,12187,5317,20078,13273,8743,5596,22163,16288,5231,18736,14441,7921,
所得税费用(万元),3701,1782,812,3786,3331,1861,809,2763,2026,1319,855,3130,2559,812,2560,1275,1286,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,
净利润(万元),20621,9842,4785,23889,18509,10326,4509,17315,11247,7424,4740,19033,13729,4419,16176,13166,6635,
归属于母公司所有者的净利润(万元),20621,9842,4785,23889,18509,10326,4509,17315,11247,7424,4740,19033,13729,4419,16176,13166,6635,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,483,8202,234,
少数股东损益(万元),,,,,,0,,,,,,,,,,,,
基本每股收益,1.43,0.68,0.33,1.66,1.28,0.72,0.31,1.56,1.04,0.69,0.44,1.76,1.27,0.41,1.62,,,
稀释每股收益,1.43,0.68,0.33,1.66,1.28,0.72,0.31,1.56,1.04,0.69,0.44,1.76,1.27,0.41,1.62,,,
