报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),69151,48083,21802,94184,64919,45454,19195,67538,42109,22657,9742,40022,30810,20339,9230,37969,29820,21092,9892,43611,33331,21762,10559,35102,36642,24882,
营业收入(万元),69151,48083,21802,94184,64919,45454,19195,67538,42109,22657,9742,40022,30810,20339,9230,37969,29820,21092,9892,43611,33331,21762,10559,35102,36642,24882,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),59664,40848,18502,78871,52536,35532,14807,53223,31772,17080,7300,30152,22183,14468,7081,29112,22990,15538,6995,31143,23835,15692,7831,20926,24583,18322,
营业成本(万元),38728,26880,12780,48481,32694,22746,8523,31146,18788,9222,4153,15262,10865,6982,3296,13084,9003,6353,2939,14766,11035,7258,3347,12292,12593,10149,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),2794,1636,786,3444,2561,1529,501,1381,295,243,133,459,134,107,34,72,51,35,4,75,54,34,12,86,923,1181,
销售费用(万元),4184,2998,543,3093,2764,1565,566,1620,985,508,214,902,639,413,188,829,561,362,162,909,653,428,212,1183,906,390,
管理费用(万元),7790,5028,2348,9426,6175,4206,3470,7776,6145,3365,1584,6321,4869,3055,1482,5613,3661,2332,1193,5545,3975,2536,1262,5062,4269,6732,
财务费用(万元),6168,4305,2045,10157,6420,4016,564,7016,4525,3231,1215,5508,5175,3410,2081,8085,9183,5925,2657,9019,7885,5213,2878,2193,5829,-308,
资产减值损失(万元),,,,4271,1922,1470,1183,4284,1034,511,,1699,501,501,,1428,531,531,40,829,234,222,120,111,63,179,
公允价值变动收益(万元),,,,,,,,,,,,,,,,-235,-235,-235,-335,302,67,67,67,-67,-274,492,
投资收益(万元),620,443,269,428,404,325,155,835,915,706,164,524,205,139,138,536,306,162,84,349,282,203,100,241,121,70,
对联营企业和合营企业的投资收益(万元),620,443,,428,404,,155,269,346,225,107,145,320,114,114,421,306,162,84,349,282,203,100,241,121,70,
汇兑收益(万元),,,,,,,,,,,,,,0,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),9736,7625,3569,15991,12879,10339,4542,15300,11253,6283,2606,10394,8832,6010,2287,9158,6901,5481,2646,13120,9845,6340,2895,14350,11906,7122,
营业外收入(万元),401,146,57,946,415,88,91,1305,606,363,102,452,574,388,94,819,556,65,44,477,324,207,79,506,515,309,
营业外支出(万元),123,81,3,371,272,187,126,145,21,8,1,29,10,8,9,112,97,12,3,6,5,3,3,31,72,9,
非流动资产处置损失(万元),,,,,,,,,,,,10,,0,,2,2,2,2,,,,,,,,
利润总额(万元),10014,7690,3623,16565,13022,10241,4507,16460,11838,6637,2707,10817,9396,6390,2372,9865,7360,5534,2687,13590,10164,6544,2971,14825,12349,7422,
所得税费用(万元),1982,1693,736,3549,2709,2110,1126,4021,2682,1812,746,2795,2353,1666,613,2506,1822,1387,785,2481,1753,1069,783,2828,2211,1642,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),8032,5996,2888,13016,10313,8130,3381,12440,9156,4825,1961,8023,7044,4724,1759,7359,5538,4147,1902,11109,8411,5475,2187,11996,10138,5780,
归属于母公司所有者的净利润(万元),6652,4736,2326,9829,8264,6300,2981,10419,8201,4825,1961,8023,7044,4724,1759,7359,5538,4147,1902,11109,8411,5475,2187,11996,10138,5780,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),1380,1260,562,3186,2049,1831,400,2020,955,,,,,,,,,,,,,,,,,,
基本每股收益,0.1,0.07,0.04,0.18,0.13,0.13,0.07,0.23,0.18,0.1,0.04,0.19,0.15,0.12,0.04,0.19,0.15,0.12,0.05,0.32,0.24,0.16,0.06,0.34,0.29,0.17,
稀释每股收益,0.1,,,,0.13,,,,0.18,,,,0.15,,,,0.15,0.12,,,,0.16,,,,,
