报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),78026,30009,12613,54612,36519,24242,11796,56532,11280,52362,44374,36704,
营业收入(万元),78026,30009,12613,54612,36519,24242,11796,56532,11280,52362,44374,36704,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),60273,24573,11023,42524,28236,18451,10246,47534,10433,42079,34349,29497,
营业成本(万元),50000,19560,8239,33147,21655,13778,7193,37295,7406,33266,25477,20786,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),7509,4068,1621,7768,5988,3892,1704,6910,,6489,,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),4,1,0,11,6,6,4,12,2,20,29,15,
销售费用(万元),1314,577,266,1162,560,554,239,1108,253,977,897,777,
管理费用(万元),2925,617,192,1057,1316,625,254,1511,2143,2425,7008,7424,
财务费用(万元),-1479,-251,556,-1250,-1289,-405,718,698,101,-1074,-320,21,
资产减值损失(万元),,,149,629,,,133,0,528,-24,1258,475,
公允价值变动收益(万元),,,,,,,,,,,,,
投资收益(万元),51,35,25,100,52,32,8,6,6,234,111,150,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),18368,5781,1701,13360,8130,5706,1661,9176,853,10517,10135,7356,
营业外收入(万元),0,,,6,4,0,,368,18,909,319,74,
营业外支出(万元),1,1,1,1,1,1,1,112,0,14,1,1,
非流动资产处置损失(万元),,,,,,,,,,,1,1,
利润总额(万元),18368,5780,1700,13365,8133,5704,1660,9433,871,11411,10453,7429,
所得税费用(万元),1984,279,62,974,803,426,94,690,38,999,1068,819,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),16383,5501,1638,12391,7330,5279,1566,8743,833,10412,9384,6610,
归属于母公司所有者的净利润(万元),16383,5501,1638,12391,7330,5279,1566,8743,833,10412,9384,6610,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,
基本每股收益,1.33,0.48,0.16,1.19,0.7,0.51,0.15,0.84,0.08,1.17,,,
稀释每股收益,1.33,0.48,0.16,1.19,0.7,0.51,0.15,0.84,0.08,1.09,,,
