报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),9677,7666,3501,12815,8909,7252,1891,13598,7326,6374,1735,11892,3238,2476,10490,6499,4100,
营业收入(万元),9677,7666,3501,12815,8909,7252,1891,13598,7326,6374,1735,11892,3238,2476,10490,6499,4100,
利息收入(万元),,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,
营业总成本(万元),5183,3054,964,6850,4659,3584,981,5395,3151,2404,770,3962,1689,1195,4441,2588,1938,
营业成本(万元),2466,1301,563,4719,2937,2310,478,3739,2115,1642,531,2450,929,724,2261,1916,1361,
利息支出(万元),,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,
研发费用(万元),850,507,239,722,655,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,
营业税金及附加(万元),49,5,1,233,157,128,15,224,120,119,28,155,51,51,137,46,91,
销售费用(万元),49,32,14,72,43,20,9,32,23,15,7,39,26,16,46,33,34,
管理费用(万元),1739,1177,206,1072,1292,841,329,1467,927,614,286,912,653,433,2179,466,429,
财务费用(万元),30,32,49,-36,24,10,26,8,63,46,18,40,3,-24,-30,-3,34,
资产减值损失(万元),,,-108,69,207,276,124,-76,-96,-31,-99,367,27,-4,-152,131,-11,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,
投资收益(万元),574,361,206,1270,862,567,114,197,0,,,3,3,3,12,25,,
对联营企业和合营企业的投资收益(万元),-67,-50,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,
营业利润(万元),5246,5077,2777,8006,5397,4494,1047,8473,4175,3969,965,7933,1553,1285,6061,3936,2162,
营业外收入(万元),,,,0,95,13,3,341,302,281,7,123,64,57,177,4,,
营业外支出(万元),,,,5,,,,0,0,0,,3,0,0,13,,,
非流动资产处置损失(万元),,,,,,,,,,,,0,,0,,,,
利润总额(万元),5246,5077,2777,8001,5492,4506,1050,8815,4477,4250,972,8053,1616,1341,6225,3940,2162,
所得税费用(万元),814,773,388,1153,793,611,141,1451,667,655,156,1235,199,202,1185,555,382,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,
净利润(万元),4432,4304,2389,6848,4699,3895,909,7364,3810,3596,816,6818,1417,1139,5039,3385,1779,
归属于母公司所有者的净利润(万元),4432,4304,2389,6848,4699,3895,909,7364,3810,3596,816,6818,1417,1139,5039,3385,1779,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,
基本每股收益,0.37,0.36,0.2,0.58,0.4,0.33,0.13,1.28,0.71,0.7,0.16,1.32,0.27,0.22,1.02,0.69,0.4,
稀释每股收益,0.37,0.36,0.2,0.58,0.4,0.33,0.13,1.28,0.71,0.7,0.16,1.32,0.27,0.22,1.02,0.69,0.4,
