报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),50357,36719,21512,78800,55437,40562,22326,83062,55972,39452,21479,78160,51734,37361,19450,73751,49380,35786,17807,71369,71112,79777,83605,
营业收入(万元),50357,36719,21512,78800,55437,40562,22326,83062,55972,39452,21479,78160,51734,37361,19450,73751,49380,35786,17807,71369,71112,79777,83605,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),46704,33218,19306,71613,50522,36192,19412,74079,50378,35347,19287,69527,47675,34506,17927,67849,47942,34369,16905,65836,66419,69408,68064,
营业成本(万元),20847,15257,9049,35366,24190,17787,9894,38126,24816,17568,9635,33000,21426,15661,8151,31004,21468,15503,7464,28285,26331,26912,30962,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),313,221,115,297,199,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),3985,2927,1752,6367,4799,3132,1518,6395,4489,3247,1439,6477,4605,3600,1817,5779,4069,2931,1290,5251,4993,5252,5816,
销售费用(万元),16367,11198,6301,22022,15706,11430,5995,21859,15348,10687,6286,22173,15831,11289,6033,21865,15372,11072,5678,21949,23847,26647,21502,
管理费用(万元),3379,2333,1309,4968,3774,2646,1397,4477,3144,2097,1093,4224,3334,2172,1109,4104,3095,2202,1180,3866,4420,3766,3862,
财务费用(万元),1814,1281,578,2089,1379,741,387,2742,2206,1477,729,2887,2184,1589,803,4725,3776,2575,1293,6166,6630,6893,5761,
资产减值损失(万元),,,,504,474,455,220,480,374,271,105,766,296,196,13,373,161,86,,318,199,-61,161,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),3,3,3,8,2,2,,,,,,,,,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),3611,3521,2259,7452,5112,4452,2986,9327,5693,4205,2193,8633,4058,2855,1523,5902,1438,1417,902,5533,4692,10369,15541,
营业外收入(万元),113,13,10,15,14,13,3,202,16,11,63,545,331,257,41,269,168,135,46,523,699,703,693,
营业外支出(万元),366,364,8,522,209,209,,418,318,132,3,362,112,111,1,275,114,111,102,1258,359,167,686,
非流动资产处置损失(万元),,,,,,186,,,131,129,1,101,1,0,,41,4,3,0,112,11,12,-81,
利润总额(万元),3358,3171,2261,6945,4916,4256,2989,9111,5391,4083,2253,8816,4278,3000,1563,5895,1492,1441,846,4799,5032,10905,15548,
所得税费用(万元),1111,1042,710,1781,1443,1292,1113,2765,1963,1457,717,2937,1374,880,442,1714,375,327,234,1270,1491,2408,3894,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),2247,2129,1550,5164,3473,2964,1876,6347,3428,2627,1536,5879,2904,2120,1121,4181,1117,1114,612,3529,3541,8498,11654,
归属于母公司所有者的净利润(万元),2247,2129,1550,5164,3473,2964,1876,6347,3428,2627,1536,5879,2904,2120,1121,4181,1117,1114,612,3529,3541,8498,11654,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
基本每股收益,0.1,0.09,0.07,0.22,0.15,0.13,0.08,0.31,0.17,0.13,0.08,0.33,0.17,0.13,0.07,0.28,0.07,0.07,0.04,0.24,0.24,0.57,0.78,
稀释每股收益,0.1,0.09,0.07,0.22,0.15,0.13,0.08,0.31,0.17,0.13,0.08,0.33,0.17,0.13,0.07,0.28,0.07,0.07,0.04,0.24,0.24,0.57,0.78,
