报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),162865,88203,134699,102503,57944,121801,83170,57517,
营业收入(万元),162865,88203,134699,102503,57944,121801,83170,57517,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),149766,83868,122807,93594,56042,115605,80143,57084,
营业成本(万元),137246,74701,107566,83550,48641,99524,66008,45025,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),5943,4017,6398,4064,2602,,,,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),788,395,684,496,316,581,262,221,
销售费用(万元),1674,1084,2205,1548,1049,2309,2215,1798,
管理费用(万元),5541,3464,6036,4385,2820,10693,12375,11000,
财务费用(万元),-1425,206,-82,-449,319,2042,-1409,-1256,
资产减值损失(万元),,,,,295,456,693,295,
公允价值变动收益(万元),-546,34,,-42,-320,,,,
投资收益(万元),-257,18,-557,-489,-46,49,115,97,
对联营企业和合营企业的投资收益(万元),,,,,,,,,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),11348,3626,11590,8512,2316,6669,3112,527,
营业外收入(万元),60,59,895,490,215,269,387,132,
营业外支出(万元),54,54,33,17,11,4,21,0,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),11353,3631,12453,8985,2520,6934,3477,659,
所得税费用(万元),1589,-8,1418,1105,78,727,618,311,
未确认投资损失(万元),,,,,,,,,
净利润(万元),9764,3639,11035,7880,2442,6207,2859,348,
归属于母公司所有者的净利润(万元),9765,3640,11039,7881,2443,6197,2998,518,
被合并方在合并前实现净利润(万元),,,,,,,,,
少数股东损益(万元),-1,-1,-4,-0,-0,11,-139,-170,
基本每股收益,0.78,0.29,0.88,0.63,0.2,0.5,0.24,0.05,
稀释每股收益,0.78,0.29,0.88,0.63,0.2,0.5,0.24,0.05,
