报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),194486,114138,51411,239109,191865,118511,138848,126539,69632,
营业收入(万元),194486,114138,51411,239109,191865,118511,138848,126539,69632,
利息收入(万元),,,,,,,,,,
已赚保费(万元),,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,
其他业务收入(万元),,,,,,,,,,
营业总成本(万元),155058,93928,43786,199725,161657,103331,124673,110223,61522,
营业成本(万元),119590,69906,30665,155382,125874,81114,88774,77923,43362,
利息支出(万元),,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,
研发费用(万元),5976,3476,1538,7681,6140,2628,,,,
退保金(万元),,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,
保单红利支出(万元),,,,,,,,,,
分保费用(万元),,,,,,,,,,
其他业务成本(万元),,,,,,,,,,
营业税金及附加(万元),645,357,139,828,676,410,633,462,210,
销售费用(万元),19172,12315,6266,24646,20303,11192,14501,11702,7772,
管理费用(万元),12411,8573,4091,15667,12912,7387,16947,20504,10015,
财务费用(万元),-2737,-698,1088,-4479,-4248,-1246,3396,-1249,-350,
资产减值损失(万元),,,,,,1847,422,881,513,
公允价值变动收益(万元),-2052,-775,270,-307,-9,-146,,,-4,
投资收益(万元),18,-173,-69,-201,149,90,63,142,26,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,
汇兑收益(万元),,,,,,,,,,
期货损益(万元),,,,,,,,,,
托管收益(万元),,,,,,,,,,
补贴收入(万元),,,,,,,,,,
其他业务利润(万元),,,,,,,,,,
营业利润(万元),34039,19216,7889,35745,28031,15285,15001,16458,8132,
营业外收入(万元),20,10,2,39,21,32,6,357,373,
营业外支出(万元),73,48,19,146,129,55,131,378,489,
非流动资产处置损失(万元),,,,,,,,,,
利润总额(万元),33985,19177,7871,35638,27924,15262,14876,16438,8016,
所得税费用(万元),6886,3194,1356,6424,4999,2888,3605,4895,2421,
未确认投资损失(万元),,,,,,,,,,
净利润(万元),27099,15984,6515,29214,22925,12374,11271,11542,5595,
归属于母公司所有者的净利润(万元),27168,16026,6535,29269,22946,12384,11251,11584,5635,
被合并方在合并前实现净利润(万元),,,,,,,,,,
少数股东损益(万元),-69,-42,-20,-55,-21,-10,20,-42,-40,
基本每股收益,2.41,1.42,0.58,2.6,2.04,1.1,1.17,1.77,,
稀释每股收益,2.41,1.42,0.58,2.6,2.04,1.1,1.17,1.77,,
