报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),167264,138129,32783,265328,126540,111697,32542,220381,132260,107775,34738,195956,121539,91463,24722,172056,95956,86557,138834,114343,90666,87779,
营业收入(万元),167264,138129,32783,265328,126540,111697,32542,220381,132260,107775,34738,195956,121539,91463,24722,172056,95956,86557,138834,114343,90666,87779,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),155754,123516,32027,237774,111636,98965,31684,199777,117553,96451,34767,178628,112279,83069,24547,157985,92619,80095,127304,104982,83902,83759,
营业成本(万元),133176,108524,26617,207694,97594,89775,27850,173780,103920,86458,28645,156258,97618,72297,19925,135869,77655,68505,107391,87638,68240,71546,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),9979,6411,387,8603,2627,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),849,511,313,1026,402,369,105,701,238,212,63,763,378,215,1,299,115,114,326,46,200,260,
销售费用(万元),1245,895,454,2837,1955,1396,457,2484,1728,1227,689,2469,1274,886,461,2391,2049,1585,2092,2185,2025,1898,
管理费用(万元),9206,6222,3016,16369,8640,7518,3293,22602,11992,8695,5279,19398,13140,9831,4072,18671,12279,9417,16474,14330,12125,9043,
财务费用(万元),1299,952,731,58,-206,-214,-20,530,-186,186,54,-383,240,157,35,-100,367,319,520,629,823,676,
资产减值损失(万元),,,509,1187,624,120,,-320,-138,-327,37,122,-370,-316,52,857,155,155,501,154,489,336,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),,,,,,,,124,124,124,124,2,,,,1024,,,60,60,60,60,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),12507,14358,799,27864,15147,12872,875,22509,14830,11447,95,17330,9260,8394,175,15094,3337,6462,11590,9421,6824,4080,
营业外收入(万元),34,13,4,8,6,14,3,38,531,506,410,794,231,231,51,275,180,166,396,762,382,679,
营业外支出(万元),2,1,1,54,3,3,0,27,43,17,10,101,46,44,4,17,17,14,79,142,95,80,
非流动资产处置损失(万元),,,,,,,,,43,17,10,101,46,,,3,3,1,,,,,
利润总额(万元),12539,14370,802,27818,15150,12883,878,22520,15318,11937,495,18023,9444,8581,222,15353,3501,6614,11906,10042,7111,4680,
所得税费用(万元),1119,1467,86,3849,2007,1806,132,3219,2393,1803,70,2520,1220,1182,16,1763,739,739,1371,1061,728,705,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),11420,12903,716,23970,13143,11077,746,19301,12925,10134,424,15503,8225,7399,206,13589,2762,5876,10535,8981,6383,3975,
归属于母公司所有者的净利润(万元),10528,12412,665,22355,13143,11077,746,19301,12925,10134,424,15503,8225,7399,206,13589,2762,5876,10535,8981,6383,3975,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,-565,
少数股东损益(万元),892,491,51,1614,,,,,,,,,,,,,,,,,,,
基本每股收益,0.12,0.14,0.01,0.33,0.15,0.13,0.02,0.41,0.28,0.21,0.01,0.39,0.18,0.21,0.01,0.39,0.08,0.17,0.3,0.26,0.18,,
稀释每股收益,0.12,0.14,0.01,0.33,0.15,0.13,0.02,0.41,0.28,0.21,0.01,0.39,0.18,,0.01,0.39,0.08,,0.3,0.26,0.18,,
