报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),66073,43778,21274,80145,59991,40745,19181,69411,51513,33099,55844,49869,52760,
营业收入(万元),66073,43778,21274,80145,59991,40745,19181,69411,51513,33099,55844,49869,52760,
利息收入(万元),,0,,,,,,,,,,,,
已赚保费(万元),,0,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),53618,34987,16971,68174,50577,33918,16112,57356,42038,26171,46008,42694,47505,
营业成本(万元),43291,28348,13497,55214,41240,27742,13049,45162,33339,20799,33381,33867,39271,
利息支出(万元),,0,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),2316,1386,677,2470,,,619,,,,,,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),499,318,181,585,440,276,110,587,453,238,489,287,212,
销售费用(万元),2513,1684,801,3104,2190,1428,659,2831,2078,1369,2061,1935,1947,
管理费用(万元),4788,3064,1578,6178,6187,3974,1332,8253,5778,3508,9625,5658,5213,
财务费用(万元),212,187,139,605,474,368,230,527,302,193,387,788,869,
资产减值损失(万元),,,,19,46,128,19,-3,88,65,65,159,-6,
公允价值变动收益(万元),,,,,,,,,,,,,,
投资收益(万元),353,95,,,,,,4,4,4,,-4,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),13052,9055,4473,12764,9915,7185,3203,12590,9761,6932,9835,7161,5255,
营业外收入(万元),,,,377,,,,,,159,156,90,47,
营业外支出(万元),143,118,1,36,33,3,0,22,11,8,939,41,43,
非流动资产处置损失(万元),,,,,,,,,,1,,,37,
利润总额(万元),12909,8937,4472,13105,9882,7182,3203,12568,9749,7084,9052,7209,5258,
所得税费用(万元),1872,1286,655,1924,1472,1067,501,1824,1486,1034,1681,1136,771,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),11038,7650,3817,11181,8410,6115,2702,10744,8263,6049,7371,6073,4487,
归属于母公司所有者的净利润(万元),11038,7650,3817,11181,8410,6115,2702,10743,8263,6049,7367,6067,4483,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,0,0,-0,4,6,4,
基本每股收益,1.21,0.84,0.62,2.24,1.68,1.22,0.54,2.15,1.65,1.21,1.47,2.09,1.54,
稀释每股收益,1.21,0.84,0.62,2.24,1.68,1.22,0.54,2.15,1.65,1.21,1.47,2.09,1.54,
