报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),67741,50675,98809,72442,49516,85681,72889,68447,
营业收入(万元),67741,50675,98809,72442,49516,85681,72889,68447,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),56401,40473,80433,58840,40159,73191,66585,60478,
营业成本(万元),42964,31532,64229,47095,32612,57361,50849,45805,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),2993,2004,3719,2785,1730,3270,3105,2701,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),891,660,1004,781,527,1014,1156,695,
销售费用(万元),693,521,1336,1005,677,1235,890,863,
管理费用(万元),8876,5818,10097,7157,4446,8809,8300,7931,
财务费用(万元),-15,-63,48,19,166,729,1873,1755,
资产减值损失(万元),,,,,,773,413,729,
公允价值变动收益(万元),,,,,,,,,
投资收益(万元),,,,,,1,,11,
对联营企业和合营企业的投资收益(万元),,,,,,,,,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),12680,10344,19715,15387,9979,13295,6798,7943,
营业外收入(万元),206,1,89,3,3,52,295,661,
营业外支出(万元),543,454,369,268,168,494,176,496,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),12342,9892,19435,15123,9814,12853,6917,8108,
所得税费用(万元),1573,1285,2602,2116,1304,1919,1343,1433,
未确认投资损失(万元),,,,,,,,,
净利润(万元),10770,8607,16833,13006,8510,10934,5574,6675,
归属于母公司所有者的净利润(万元),10770,8607,16833,13006,8510,10934,5574,6675,
被合并方在合并前实现净利润(万元),,,,,,,,,
少数股东损益(万元),,,,,,,,,
基本每股收益,1.26,1.01,1.98,1.53,1,1.28,0.71,0.89,
稀释每股收益,1.26,1.01,1.98,1.53,1,1.28,0.71,0.89,
