报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),69918,46110,18817,95205,62694,42591,15519,67815,42812,27655,9989,48207,30236,18301,6655,36207,4642,29525,22470,18574,
营业收入(万元),69918,46110,18817,95205,62694,42591,15519,67815,42812,27655,9989,48207,30236,18301,6655,36207,4642,29525,22470,18574,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),66283,43861,19194,91046,61095,40884,15038,59755,40087,25573,9245,43083,28388,17231,6318,32980,5180,27183,25206,18180,
营业成本(万元),31838,21983,9097,43536,28882,19314,6878,29893,19455,12621,4594,21619,13863,8348,2984,17384,2219,14951,11734,9356,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,
研发费用(万元),10868,7041,3291,13255,9094,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),439,322,131,657,423,288,101,542,329,232,81,404,196,117,43,284,17,125,87,64,
销售费用(万元),18603,11746,5024,25185,15555,10443,3529,16439,11313,7057,2413,12307,8477,5063,1945,9042,1290,6477,6146,5085,
管理费用(万元),4999,2932,1303,7365,6466,9775,4250,12181,8287,5063,2012,8310,5456,3410,1232,5759,1402,5396,7010,3440,
财务费用(万元),-464,-164,-77,-444,-703,-319,92,-30,-23,-25,18,-47,8,8,10,147,51,102,201,191,
资产减值损失(万元),,,425,1493,1377,1383,187,730,727,624,127,491,388,285,103,365,202,134,28,44,
公允价值变动收益(万元),73,57,61,-5,12,,,,,,,,,,,,,,,,
投资收益(万元),601,21,33,1015,800,403,168,195,8,-181,-128,324,-16,-16,0,-0,,,,10,
对联营企业和合营企业的投资收益(万元),458,-123,9,-46,-18,-116,-95,195,8,-181,-128,324,-16,,0,-0,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,
营业利润(万元),7703,5053,1920,11988,7042,4982,1374,14535,4460,3055,616,5447,1832,1053,338,3227,-538,2341,-2736,404,
营业外收入(万元),59,18,4,118,88,80,21,367,2803,904,432,6327,3544,1237,281,2788,332,1272,1434,350,
营业外支出(万元),7,7,2,237,24,19,3,43,20,20,9,42,12,12,1,19,1,4,11,73,
非流动资产处置损失(万元),,,,,,,,,1,1,,9,5,5,,,,3,2,5,
利润总额(万元),7755,5064,1922,11869,7106,5043,1392,14859,7242,3939,1039,11732,5363,2278,617,5996,-208,3609,-1313,681,
所得税费用(万元),624,339,165,1082,409,471,143,1922,788,505,104,1454,542,270,5,683,1,512,179,60,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,
净利润(万元),7131,4725,1757,10787,6697,4572,1249,12937,6454,3433,935,10279,4822,2008,612,5313,-209,3097,-1492,620,
归属于母公司所有者的净利润(万元),7011,4592,1830,10514,6556,4437,1173,12911,6407,3418,925,10210,4813,2008,621,5288,-202,3108,-1492,620,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),121,133,-73,273,141,135,76,26,47,15,9,69,9,-0,-10,25,-7,-12,,,
基本每股收益,0.29,0.19,0.08,0.44,0.28,0.19,0.1,1.16,0.59,0.33,0.1,1.14,0.54,0.22,0.07,0.6,-0.03,0.52,-0.4,0.41,
稀释每股收益,0.29,0.19,0.08,0.44,0.27,0.18,0.1,1.15,0.59,0.33,0.1,1.14,0.54,0.22,0.07,0.6,-0.03,0.52,-0.4,0.41,
