报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),197538,129010,55220,297433,226106,147714,60972,272853,201813,130372,53795,224382,162381,189692,95616,194197,185206,170481,
营业收入(万元),197538,129010,55220,297433,226106,147714,60972,272853,201813,130372,53795,224382,162381,189692,95616,194197,185206,170481,
利息收入(万元),,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,
营业总成本(万元),175111,112204,49654,258242,187010,119892,51769,230056,168929,105660,44885,197876,146582,185433,91712,184828,171576,155652,
营业成本(万元),146602,94049,40110,222445,164404,104922,44270,197308,144610,90206,37380,167625,121977,149824,75745,154226,144804,129091,
利息支出(万元),,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,
研发费用(万元),10806,7057,3267,10715,7195,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),1219,826,400,2018,1637,1137,541,2274,1779,1210,585,2074,1646,1102,487,785,981,954,
销售费用(万元),3785,2356,1106,4963,3317,2167,851,4556,3013,1924,891,4143,2765,3213,1561,3295,3202,2886,
管理费用(万元),10088,6389,3347,14352,9603,10541,4455,21020,13816,8559,3839,15116,10326,14100,6566,12644,12174,11722,
财务费用(万元),2611,1527,390,1540,722,681,552,3923,3327,2615,1627,7104,7929,12004,4818,10968,6690,8652,
资产减值损失(万元),,,1034,2208,132,444,1101,973,2385,1147,563,1815,1939,5190,2535,2910,3725,2347,
公允价值变动收益(万元),,,,,,,,,-199,-100,-109,,,,,,,,
投资收益(万元),880,710,422,856,634,538,251,-94,-92,-92,,218,15,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,
营业利润(万元),22404,16703,6145,41036,40085,28581,9553,43621,32876,24708,8774,26723,15815,4258,3904,9369,13630,14829,
营业外收入(万元),55,27,1,174,189,94,45,960,384,162,185,982,616,987,436,1116,1453,1038,
营业外支出(万元),255,154,54,130,97,56,56,121,121,121,54,502,433,249,142,423,183,268,
非流动资产处置损失(万元),,,,,,,,,35,35,,316,281,12,6,103,9,4,
利润总额(万元),22204,16576,6093,41080,40177,28619,9542,44459,33138,24749,8906,27203,15998,4997,4198,10062,14899,15600,
所得税费用(万元),2896,2101,652,6620,6296,5195,1745,7807,5951,4634,1475,4447,2281,857,930,1998,3344,2137,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,
净利润(万元),19309,14475,5441,34460,33881,23423,7796,36652,27188,20115,7431,22756,13718,4140,3268,8064,11555,13463,
归属于母公司所有者的净利润(万元),19309,14475,5441,34460,33881,23423,7796,36652,27188,20115,7431,22756,13718,4140,3268,8064,11555,13463,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,
基本每股收益,0.25,0.19,0.1,0.63,0.62,0.43,0.14,0.74,0.57,0.42,0.15,0.47,0.29,0.09,0.07,0.17,0.24,0.29,
稀释每股收益,0.23,0.17,0.1,0.63,0.62,0.43,0.14,0.74,0.57,0.42,0.15,0.47,0.29,0.09,0.07,0.17,0.24,0.29,
